Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
AUD,500.3,484.76,503.98,506.22,503.25,2021.03.23 11:23:34
AUD,500.34,484.8,504.02,506.26,503.25,2021.03.23 11:21:51
AUD,500.34,484.8,504.02,506.26,503.25,2021.03.23 10:58:54
AUD,500.37,484.83,504.05,506.29,503.25,2021.03.23 10:55:37
AUD,500.47,484.92,504.15,506.39,503.25,2021.03.23 10:50:15
AUD,500.24,484.7,503.92,506.16,503.25,2021.03.23 10:48:37
AUD,500.6,485.05,504.28,506.52,503.25,2021.03.23 10:37:55
AUD,500.57,485.02,504.25,506.49,503.25,2021.03.23 10:37:07
AUD,500.54,484.99,504.22,506.46,503.25,2021.03.23 10:35:32
AUD,500.54,484.99,504.22,506.46,503.25,2021.03.23 10:34:12
AUD,500.67,485.12,504.35,506.59,503.25,2021.03.23 10:32:08
AUD,500.78,485.22,504.46,506.7,503.25,2021.03.23 10:30:00
AUD,500.78,485.22,504.46,506.7,503.25,2021.03.23 10:30:00
AUD,500.78,485.22,504.46,506.7,503.25,2021.03.23 10:28:46
AUD,500.78,485.22,504.46,506.7,503.25,2021.03.23 10:28:46
AUD,501.08,485.51,504.77,507,503.25,2021.03.23 10:18:59
AUD,501.23,485.66,504.92,507.15,503.25,2021.03.23 10:18:14
AUD,501.19,485.62,504.88,507.11,503.25,2021.03.23 10:11:24
AUD,501.19,485.62,504.88,507.11,503.25,2021.03.23 10:11:24
AUD,501.19,485.62,504.88,507.11,503.25,2021.03.23 10:10:01
AUD,501.19,485.62,504.88,507.11,503.25,2021.03.23 10:10:01
AUD,501.19,485.62,504.88,507.11,503.25,2021.03.23 10:08:52
AUD,501.22,485.65,504.91,507.14,503.25,2021.03.23 10:08:00
AUD,501.27,485.69,504.96,507.19,503.25,2021.03.23 10:00:40
AUD,501.2,485.63,504.89,507.12,503.25,2021.03.23 09:56:55
AUD,501.04,485.47,504.73,506.96,503.25,2021.03.23 09:52:55
AUD,501.16,485.59,504.85,507.08,503.25,2021.03.23 09:47:07
AUD,501.26,485.69,504.95,507.18,503.25,2021.03.23 09:46:07
AUD,501.22,485.65,504.91,507.14,503.25,2021.03.23 09:42:47
AUD,501.18,485.61,504.87,507.1,503.25,2021.03.23 09:39:42
AUD,501.29,485.71,504.98,507.21,503.25,2021.03.23 09:36:38
AUD,501.07,485.5,504.76,506.99,503.25,2021.03.23 09:34:57
AUD,501.18,485.61,504.87,507.1,503.25,2021.03.23 09:33:23
AUD,501.07,485.5,504.76,506.99,503.25,2021.03.23 09:32:41
AUD,501.1,485.53,504.79,507.02,503.25,2021.03.23 09:32:14
AUD,501.12,485.55,504.81,507.04,503.25,2021.03.23 09:30:39
AUD,501.18,485.61,504.87,507.1,503.25,2021.03.23 09:17:59
AUD,501.18,485.61,504.87,507.1,503.25,2021.03.23 09:17:55
AUD,501.71,486.12,505.4,507.64,503.84,2021.03.23 08:26:38
