Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
BRL,,113.48,,128.85,,2021.03.23 11:26:40
BRL,,113.47,,128.84,,2021.03.23 11:23:34
BRL,,113.48,,128.85,,2021.03.23 11:21:51
BRL,,113.48,,128.85,,2021.03.23 10:58:54
BRL,,113.49,,128.86,,2021.03.23 10:55:37
BRL,,113.48,,128.85,,2021.03.23 10:50:15
BRL,,113.49,,128.86,,2021.03.23 10:48:37
BRL,,113.48,,128.85,,2021.03.23 10:37:55
BRL,,113.49,,128.86,,2021.03.23 10:37:07
BRL,,113.5,,128.87,,2021.03.23 10:35:32
BRL,,113.5,,128.87,,2021.03.23 10:34:12
BRL,,113.5,,128.87,,2021.03.23 10:32:08
BRL,,113.51,,128.88,,2021.03.23 10:30:00
BRL,,113.51,,128.88,,2021.03.23 10:30:00
BRL,,113.51,,128.88,,2021.03.23 10:28:46
BRL,,113.51,,128.88,,2021.03.23 10:28:46
BRL,,113.52,,128.89,,2021.03.23 10:18:59
BRL,,113.51,,128.88,,2021.03.23 10:18:14
BRL,,113.5,,128.87,,2021.03.23 10:11:24
BRL,,113.5,,128.87,,2021.03.23 10:11:24
BRL,,113.5,,128.87,,2021.03.23 10:10:01
BRL,,113.5,,128.87,,2021.03.23 10:10:01
BRL,,113.5,,128.87,,2021.03.23 10:08:52
BRL,,113.49,,128.86,,2021.03.23 10:08:00
BRL,,113.47,,128.84,,2021.03.23 10:00:40
BRL,,113.46,,128.83,,2021.03.23 09:56:55
BRL,,113.47,,128.84,,2021.03.23 09:52:55
BRL,,113.45,,128.82,,2021.03.23 09:47:07
BRL,,113.46,,128.83,,2021.03.23 09:46:07
BRL,,113.45,,128.82,,2021.03.23 09:42:47
BRL,,113.44,,128.81,,2021.03.23 09:39:42
BRL,,113.45,,128.82,,2021.03.23 09:36:38
BRL,,113.46,,128.83,,2021.03.23 09:34:57
BRL,,113.44,,128.81,,2021.03.23 09:33:23
BRL,,113.41,,128.77,,2021.03.23 09:32:41
BRL,,113.4,,128.76,,2021.03.23 09:32:14
BRL,,113.4,,128.75,,2021.03.23 09:30:39
BRL,,113.44,,128.81,,2021.03.23 09:17:59
BRL,,113.44,,128.81,,2021.03.23 09:17:55
BRL,,113.44,,128.81,,2021.03.23 08:26:38
BRL,,113.44,,128.81,,2021.03.23 07:53:00
BRL,,113.44,,128.81,,2021.03.23 07:41:55
BRL,,113.44,,128.81,,2021.03.23 07:31:18
BRL,,113.44,,128.81,,2021.03.23 07:29:15
BRL,,112.93,,128.23,,2021.03.23 06:55:13
BRL,,112.93,,128.23,,2021.03.23 05:30:00
BRL,,112.93,,128.23,,2021.03.23 05:30:00
BRL,,112.93,,128.23,,2021.03.23 05:30:00
BRL,,112.93,,128.23,,2021.03.23 00:00:05
BRL,,112.93,,128.23,,2021.03.22 23:36:58
BRL,,112.93,,128.23,,2021.03.23 00:00:05
BRL,,112.93,,128.23,,2021.03.22 23:36:58
BRL,,113.01,,128.31,,2021.03.22 23:16:00
BRL,,113.13,,128.45,,2021.03.22 23:14:52
BRL,,113.25,,128.59,,2021.03.22 22:48:04
BRL,,113.15,,128.47,,2021.03.22 22:40:50
BRL,,113.03,,128.34,,2021.03.22 22:31:26
BRL,,112.87,,128.15,,2021.03.22 22:15:09
