Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
CAD,517.27,500.94,521.08,523.38,519.26,2021.03.23 11:23:34
CAD,517.36,501.02,521.17,523.47,519.26,2021.03.23 11:21:51
CAD,517.36,501.02,521.17,523.47,519.26,2021.03.23 10:58:54
CAD,517.4,501.06,521.21,523.51,519.26,2021.03.23 10:55:37
CAD,517.4,501.06,521.21,523.51,519.26,2021.03.23 10:50:15
CAD,517.31,500.97,521.12,523.42,519.26,2021.03.23 10:48:37
CAD,517.4,501.06,521.21,523.51,519.26,2021.03.23 10:37:55
CAD,517.4,501.06,521.21,523.51,519.26,2021.03.23 10:37:07
CAD,517.6,501.25,521.41,523.71,519.26,2021.03.23 10:35:32
CAD,517.6,501.25,521.41,523.71,519.26,2021.03.23 10:34:12
CAD,517.64,501.29,521.45,523.75,519.26,2021.03.23 10:32:08
CAD,517.6,501.25,521.41,523.71,519.26,2021.03.23 10:30:00
CAD,517.6,501.25,521.41,523.71,519.26,2021.03.23 10:30:00
CAD,517.6,501.25,521.41,523.71,519.26,2021.03.23 10:28:46
CAD,517.6,501.25,521.41,523.71,519.26,2021.03.23 10:28:46
CAD,517.76,501.41,521.57,523.88,519.26,2021.03.23 10:18:59
CAD,517.77,501.42,521.58,523.89,519.26,2021.03.23 10:18:14
CAD,517.89,501.53,521.7,524.01,519.26,2021.03.23 10:11:24
CAD,517.89,501.53,521.7,524.01,519.26,2021.03.23 10:11:24
CAD,517.89,501.53,521.7,524.01,519.26,2021.03.23 10:10:01
CAD,517.89,501.53,521.7,524.01,519.26,2021.03.23 10:10:01
CAD,517.89,501.53,521.7,524.01,519.26,2021.03.23 10:08:52
CAD,517.77,501.42,521.58,523.89,519.26,2021.03.23 10:08:00
CAD,517.77,501.42,521.58,523.89,519.26,2021.03.23 10:00:40
CAD,517.69,501.34,521.5,523.8,519.26,2021.03.23 09:56:55
CAD,517.61,501.26,521.42,523.72,519.26,2021.03.23 09:52:55
CAD,517.69,501.34,521.5,523.8,519.26,2021.03.23 09:47:07
CAD,517.98,501.62,521.8,524.1,519.26,2021.03.23 09:46:07
CAD,517.78,501.43,521.59,523.9,519.26,2021.03.23 09:42:47
CAD,517.7,501.35,521.51,523.81,519.26,2021.03.23 09:39:42
CAD,517.94,501.58,521.75,524.06,519.26,2021.03.23 09:36:38
CAD,517.9,501.54,521.71,524.02,519.26,2021.03.23 09:34:57
CAD,517.65,501.3,521.46,523.76,519.26,2021.03.23 09:33:23
CAD,517.58,501.24,521.39,523.69,519.26,2021.03.23 09:32:41
CAD,517.54,501.2,521.35,523.65,519.26,2021.03.23 09:32:14
CAD,517.54,501.2,521.35,523.65,519.26,2021.03.23 09:30:39
CAD,517.65,501.3,521.46,523.76,519.26,2021.03.23 09:17:59
CAD,517.65,501.3,521.46,523.76,519.26,2021.03.23 09:17:55
CAD,517.78,501.43,521.59,523.9,520.71,2021.03.23 08:26:38
CAD,518.03,501.67,521.85,524.15,520.71,2021.03.23 07:53:00
CAD,518.03,501.67,521.85,524.15,520.71,2021.03.23 07:41:55
CAD,517.78,501.43,521.59,523.9,520.71,2021.03.23 07:31:18
CAD,517.9,501.54,521.71,524.02,520.71,2021.03.23 07:29:15
CAD,517.94,501.58,521.75,524.06,520.71,2021.03.23 06:55:13
CAD,518.03,501.67,521.85,524.15,520.71,2021.03.23 05:30:00
CAD,518.03,501.67,521.85,524.15,520.71,2021.03.23 05:30:00
CAD,518.03,501.67,521.85,524.15,520.71,2021.03.23 05:30:00
