Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
CHF,701.73,680.07,706.65,709.68,704.25,2021.03.23 11:23:34
CHF,701.78,680.12,706.7,709.73,704.25,2021.03.23 11:21:51
CHF,701.78,680.12,706.7,709.73,704.25,2021.03.23 10:58:54
CHF,701.82,680.17,706.76,709.78,704.25,2021.03.23 10:55:37
CHF,701.78,680.12,706.7,709.73,704.25,2021.03.23 10:50:15
CHF,701.68,680.02,706.6,709.63,704.25,2021.03.23 10:48:37
CHF,701.78,680.12,706.7,709.73,704.25,2021.03.23 10:37:55
CHF,701.9,680.25,706.84,709.86,704.25,2021.03.23 10:37:07
CHF,701.88,680.23,706.82,709.84,704.25,2021.03.23 10:35:32
CHF,701.88,680.23,706.82,709.84,704.25,2021.03.23 10:34:12
CHF,701.81,680.15,706.73,709.76,704.25,2021.03.23 10:32:08
CHF,701.93,680.27,706.87,709.89,704.25,2021.03.23 10:30:00
CHF,701.93,680.27,706.87,709.89,704.25,2021.03.23 10:30:00
CHF,701.93,680.27,706.87,709.89,704.25,2021.03.23 10:28:46
CHF,701.93,680.27,706.87,709.89,704.25,2021.03.23 10:28:46
CHF,702.14,680.48,707.08,710.11,704.25,2021.03.23 10:18:59
CHF,702.09,680.43,707.03,710.06,704.25,2021.03.23 10:18:14
CHF,702.11,680.45,707.05,710.08,704.25,2021.03.23 10:11:24
CHF,702.11,680.45,707.05,710.08,704.25,2021.03.23 10:11:24
CHF,702.11,680.45,707.05,710.08,704.25,2021.03.23 10:10:01
CHF,702.11,680.45,707.05,710.08,704.25,2021.03.23 10:10:01
CHF,702.11,680.45,707.05,710.08,704.25,2021.03.23 10:08:52
CHF,702.13,680.47,707.07,710.1,704.25,2021.03.23 10:08:00
CHF,701.8,680.14,706.72,709.75,704.25,2021.03.23 10:00:40
CHF,701.77,680.11,706.69,709.72,704.25,2021.03.23 09:56:55
CHF,701.67,680.01,706.59,709.62,704.25,2021.03.23 09:52:55
CHF,701.56,679.91,706.48,709.51,704.25,2021.03.23 09:47:07
CHF,701.62,679.97,706.54,709.57,704.25,2021.03.23 09:46:07
CHF,701.64,679.98,706.56,709.59,704.25,2021.03.23 09:42:47
CHF,701.51,679.86,706.43,709.46,704.25,2021.03.23 09:39:42
CHF,701.49,679.84,706.41,709.44,704.25,2021.03.23 09:36:38
CHF,701.47,679.82,706.39,709.42,704.25,2021.03.23 09:34:57
CHF,701.43,679.78,706.35,709.38,704.25,2021.03.23 09:33:23
CHF,701.2,679.56,706.12,709.15,704.25,2021.03.23 09:32:41
CHF,701.22,679.58,706.14,709.17,704.25,2021.03.23 09:32:14
CHF,701.24,679.6,706.16,709.19,704.25,2021.03.23 09:30:39
CHF,701.51,679.86,706.43,709.46,704.25,2021.03.23 09:17:59
CHF,701.51,679.86,706.43,709.46,704.25,2021.03.23 09:17:55
CHF,701.43,679.78,706.35,709.38,701.1,2021.03.23 08:26:38
CHF,701.96,680.3,706.9,709.92,701.1,2021.03.23 07:53:00
CHF,702.11,680.45,707.05,710.08,701.1,2021.03.23 07:41:55
CHF,702.19,680.53,707.13,710.16,701.1,2021.03.23 07:31:18
