Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
DKK,103.97,100.76,104.81,105.31,104.36,2021.03.23 11:23:34
DKK,103.99,100.78,104.83,105.33,104.36,2021.03.23 11:21:51
DKK,103.98,100.77,104.82,105.32,104.36,2021.03.23 10:58:54
DKK,103.99,100.78,104.83,105.33,104.36,2021.03.23 10:55:37
DKK,103.98,100.77,104.82,105.32,104.36,2021.03.23 10:50:15
DKK,103.97,100.76,104.81,105.31,104.36,2021.03.23 10:48:37
DKK,103.98,100.77,104.82,105.32,104.36,2021.03.23 10:37:55
DKK,103.98,100.77,104.82,105.32,104.36,2021.03.23 10:37:07
DKK,103.99,100.78,104.83,105.33,104.36,2021.03.23 10:35:32
DKK,104,100.79,104.84,105.34,104.36,2021.03.23 10:34:12
DKK,103.99,100.78,104.83,105.33,104.36,2021.03.23 10:32:08
DKK,104,100.79,104.84,105.34,104.36,2021.03.23 10:30:00
DKK,104,100.79,104.84,105.34,104.36,2021.03.23 10:30:00
DKK,104,100.79,104.84,105.34,104.36,2021.03.23 10:28:46
DKK,104,100.79,104.84,105.34,104.36,2021.03.23 10:28:46
DKK,104.03,100.82,104.87,105.37,104.36,2021.03.23 10:18:59
DKK,104.04,100.83,104.88,105.38,104.36,2021.03.23 10:18:14
DKK,104.05,100.84,104.89,105.39,104.36,2021.03.23 10:11:24
DKK,104.05,100.84,104.89,105.39,104.36,2021.03.23 10:11:24
DKK,104.05,100.84,104.89,105.39,104.36,2021.03.23 10:10:01
DKK,104.05,100.84,104.89,105.39,104.36,2021.03.23 10:10:01
DKK,104.05,100.84,104.89,105.39,104.36,2021.03.23 10:08:52
DKK,104.05,100.84,104.89,105.39,104.36,2021.03.23 10:08:00
DKK,104.02,100.81,104.86,105.36,104.36,2021.03.23 10:00:40
DKK,104.01,100.8,104.85,105.35,104.36,2021.03.23 09:56:55
DKK,103.98,100.77,104.82,105.32,104.36,2021.03.23 09:52:55
DKK,104,100.79,104.84,105.34,104.36,2021.03.23 09:47:07
DKK,104.03,100.82,104.87,105.37,104.36,2021.03.23 09:46:07
DKK,104.04,100.83,104.88,105.38,104.36,2021.03.23 09:42:47
DKK,104.03,100.82,104.87,105.37,104.36,2021.03.23 09:39:42
DKK,104.04,100.83,104.88,105.38,104.36,2021.03.23 09:36:38
DKK,104.03,100.82,104.87,105.37,104.36,2021.03.23 09:34:57
DKK,104.02,100.81,104.86,105.36,104.36,2021.03.23 09:33:23
DKK,103.99,100.78,104.83,105.33,104.36,2021.03.23 09:32:41
DKK,103.99,100.78,104.83,105.33,104.36,2021.03.23 09:32:14
DKK,103.99,100.78,104.83,105.33,104.36,2021.03.23 09:30:39
DKK,104.02,100.81,104.86,105.36,104.36,2021.03.23 09:17:59
DKK,104.02,100.81,104.86,105.36,104.36,2021.03.23 09:17:55
