Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
EUR,773.71,749.67,779.42,781.93,776.04,2021.03.23 11:23:34
EUR,773.83,749.79,779.54,782.05,776.04,2021.03.23 11:21:51
EUR,773.77,749.73,779.48,781.99,776.04,2021.03.23 10:58:54
EUR,773.89,749.85,779.6,782.11,776.04,2021.03.23 10:55:37
EUR,773.77,749.73,779.48,781.99,776.04,2021.03.23 10:50:15
EUR,773.7,749.66,779.41,781.92,776.04,2021.03.23 10:48:37
EUR,773.77,749.73,779.48,781.99,776.04,2021.03.23 10:37:55
EUR,773.76,749.72,779.47,781.98,776.04,2021.03.23 10:37:07
EUR,773.89,749.85,779.6,782.11,776.04,2021.03.23 10:35:32
EUR,773.89,749.85,779.6,782.11,776.04,2021.03.23 10:34:12
EUR,773.89,749.85,779.6,782.11,776.04,2021.03.23 10:32:08
EUR,773.95,749.9,779.66,782.17,776.04,2021.03.23 10:30:00
EUR,773.95,749.9,779.66,782.17,776.04,2021.03.23 10:30:00
EUR,773.95,749.9,779.66,782.17,776.04,2021.03.23 10:28:46
EUR,773.95,749.9,779.66,782.17,776.04,2021.03.23 10:28:46
EUR,774.14,750.09,779.85,782.36,776.04,2021.03.23 10:18:59
EUR,774.21,750.16,779.92,782.43,776.04,2021.03.23 10:18:14
EUR,774.34,750.28,780.05,782.56,776.04,2021.03.23 10:11:24
EUR,774.34,750.28,780.05,782.56,776.04,2021.03.23 10:11:24
EUR,774.34,750.28,780.05,782.56,776.04,2021.03.23 10:10:01
EUR,774.34,750.28,780.05,782.56,776.04,2021.03.23 10:10:01
EUR,774.34,750.28,780.05,782.56,776.04,2021.03.23 10:08:52
EUR,774.28,750.22,779.99,782.5,776.04,2021.03.23 10:08:00
EUR,774.1,750.05,779.81,782.32,776.04,2021.03.23 10:00:40
EUR,773.98,749.93,779.69,782.2,776.04,2021.03.23 09:56:55
EUR,773.84,749.8,779.55,782.06,776.04,2021.03.23 09:52:55
EUR,773.92,749.88,779.63,782.14,776.04,2021.03.23 09:47:07
EUR,774.17,750.12,779.88,782.39,776.04,2021.03.23 09:46:07
EUR,774.24,750.18,779.95,782.46,776.04,2021.03.23 09:42:47
EUR,774.19,750.14,779.9,782.41,776.04,2021.03.23 09:39:42
EUR,774.24,750.18,779.95,782.46,776.04,2021.03.23 09:36:38
EUR,774.17,750.12,779.88,782.39,776.04,2021.03.23 09:34:57
EUR,774.06,750.01,779.77,782.28,776.04,2021.03.23 09:33:23
EUR,773.88,749.84,779.59,782.1,776.04,2021.03.23 09:32:41
EUR,773.88,749.84,779.59,782.1,776.04,2021.03.23 09:32:14
EUR,773.89,749.85,779.6,782.11,776.04,2021.03.23 09:30:39
EUR,774.06,750.01,779.77,782.28,776.04,2021.03.23 09:17:59
EUR,774.06,750.01,779.77,782.28,776.04,2021.03.23 09:17:55
EUR,773.86,749.82,779.57,782.08,774.9,2021.03.23 08:26:38
EUR,773.79,749.75,779.5,782.01,774.9,2021.03.23 07:53:00
EUR,773.92,749.88,779.63,782.14,774.9,2021.03.23 07:41:55
EUR,773.92,749.88,779.63,782.14,774.9,2021.03.23 07:31:18
EUR,773.86,749.82,779.57,782.08,774.9,2021.03.23 07:29:15
EUR,774.06,750.01,779.77,782.28,774.9,2021.03.23 06:55:13
EUR,774.19,750.14,779.9,782.41,774.9,2021.03.23 05:30:00
EUR,774.19,750.14,779.9,782.41,774.9,2021.03.23 05:30:00
EUR,774.19,750.14,779.9,782.41,774.9,2021.03.23 05:30:00
EUR,774.19,750.14,779.9,782.41,774.9,2021.03.23 00:00:05
EUR,774.19,750.14,779.9,782.41,774.9,2021.03.22 23:36:58
EUR,774.19,750.14,779.9,782.41,774.9,2021.03.23 00:00:05
EUR,774.19,750.14,779.9,782.41,774.9,2021.03.22 23:36:58
EUR,773.4,749.37,779.11,781.61,774.9,2021.03.22 23:16:00
EUR,773.35,749.32,779.05,781.55,774.9,2021.03.22 23:14:52
EUR,773.47,749.44,779.18,781.68,774.9,2021.03.22 22:48:04
EUR,773.02,749,778.72,781.22,774.9,2021.03.22 22:40:50
EUR,773.08,749.06,778.78,781.28,774.9,2021.03.22 22:31:26
EUR,772.95,748.93,778.65,781.15,774.9,2021.03.22 22:15:09
EUR,773.28,749.25,778.98,781.48,774.9,2021.03.22 22:05:12
EUR,772.76,748.75,778.46,780.96,774.9,2021.03.22 21:47:07
EUR,772.45,748.45,778.14,780.65,774.9,2021.03.22 21:43:44
EUR,773.37,749.34,779.07,781.57,774.9,2021.03.22 21:25:26
EUR,773.42,749.39,779.13,781.63,774.9,2021.03.22 20:20:46
EUR,773.42,749.39,779.13,781.63,774.9,2021.03.22 19:37:37
EUR,773.3,749.27,779,781.5,774.9,2021.03.22 19:29:15
EUR,773.42,749.39,779.13,781.63,774.9,2021.03.22 19:23:26
EUR,773.09,749.06,778.79,781.29,774.9,2021.03.22 19:13:25
EUR,772.9,748.88,778.6,781.1,774.9,2021.03.22 19:10:08
EUR,772.96,748.94,778.66,781.16,774.9,2021.03.22 19:09:13
EUR,772.95,748.93,778.65,781.15,774.9,2021.03.22 19:07:22
EUR,773.08,749.06,778.78,781.28,774.9,2021.03.22 19:04:07
EUR,772.63,748.62,778.32,780.83,774.9,2021.03.22 19:00:40
EUR,772.63,748.62,778.32,780.83,774.9,2021.03.22 18:58:15
EUR,772.43,748.43,778.12,780.63,774.9,2021.03.22 18:54:52
EUR,772.37,748.37,778.06,780.57,774.9,2021.03.22 18:53:22
EUR,772.37,748.37,778.06,780.57,774.9,2021.03.22 18:50:27
EUR,772.24,748.24,777.93,780.44,774.9,2021.03.22 18:48:38
EUR,772.17,748.18,777.86,780.37,774.9,2021.03.22 18:45:38
EUR,772.37,748.37,778.06,780.57,774.9,2021.03.22 18:36:10
EUR,772.37,748.37,778.06,780.57,774.9,2021.03.22 18:15:09
EUR,772.42,748.42,778.11,780.62,774.9,2021.03.22 18:14:39
EUR,772.49,748.49,778.18,780.69,774.9,2021.03.22 18:14:29
EUR,771.84,747.86,777.53,780.03,774.9,2021.03.22 17:55:13
EUR,771.97,747.98,777.66,780.16,774.9,2021.03.22 17:17:53
EUR,772.24,748.24,777.93,780.44,774.9,2021.03.22 17:07:50
EUR,772.17,748.18,777.86,780.37,774.9,2021.03.22 17:00:09
EUR,771.91,747.93,777.6,780.1,774.9,2021.03.22 16:52:39
EUR,771.84,747.86,777.53,780.03,774.9,2021.03.22 16:47:59
EUR,771.98,747.99,777.67,780.17,774.9,2021.03.22 16:45:59
EUR,771.91,747.93,777.6,780.1,774.9,2021.03.22 16:41:45
EUR,772.17,748.18,777.86,780.37,774.9,2021.03.22 16:39:51
EUR,772.23,748.23,777.92,780.43,774.9,2021.03.22 16:33:05
EUR,771.77,747.79,777.46,779.96,774.9,2021.03.22 16:31:51
EUR,771.44,747.47,777.13,779.63,774.9,2021.03.22 16:29:06
EUR,771.25,747.29,776.94,779.44,774.9,2021.03.22 16:26:23
EUR,771.26,747.3,776.95,779.45,774.9,2021.03.22 16:22:16
EUR,771,747.05,776.69,779.19,774.9,2021.03.22 16:17:21
EUR,770.92,746.97,776.61,779.11,774.9,2021.03.22 16:12:16
EUR,770.92,746.97,776.61,779.11,774.9,2021.03.22 16:11:31
EUR,770.65,746.71,776.34,778.83,774.9,2021.03.22 16:07:11
EUR,770.85,746.9,776.54,779.04,774.9,2021.03.22 16:05:28
EUR,770.92,746.97,776.61,779.11,774.9,2021.03.22 16:03:53
EUR,770.93,746.98,776.62,779.12,774.9,2021.03.22 16:01:40
EUR,770.92,746.97,776.61,779.11,774.9,2021.03.22 15:58:32
EUR,771.13,747.17,776.82,779.32,774.9,2021.03.22 15:56:53
EUR,771.12,747.16,776.81,779.31,774.9,2021.03.22 15:55:55
EUR,770.93,746.98,776.62,779.12,774.9,2021.03.22 15:54:42
EUR,770.6,746.66,776.29,778.78,774.9,2021.03.22 15:48:42
EUR,770.93,746.98,776.62,779.12,774.9,2021.03.22 15:45:06
EUR,770.87,746.92,776.56,779.06,774.9,2021.03.22 15:41:11
EUR,770.81,746.86,776.5,779,774.9,2021.03.22 15:39:29
EUR,771.01,747.06,776.7,779.2,774.9,2021.03.22 15:38:29
EUR,770.88,746.93,776.57,779.07,774.9,2021.03.22 15:34:10
EUR,770.95,747,776.64,779.14,774.9,2021.03.22 15:29:38
