Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
GBP,898.08,870.18,904.7,908.7,901.37,2021.03.23 11:23:34
GBP,898.22,870.31,904.84,908.84,901.37,2021.03.23 11:21:51
GBP,898.02,870.12,904.64,908.64,901.37,2021.03.23 10:58:54
GBP,898.03,870.13,904.65,908.65,901.37,2021.03.23 10:55:37
GBP,897.9,870,904.51,908.51,901.37,2021.03.23 10:50:15
GBP,897.78,869.88,904.39,908.39,901.37,2021.03.23 10:48:37
GBP,897.96,870.06,904.58,908.58,901.37,2021.03.23 10:37:55
GBP,897.96,870.06,904.58,908.58,901.37,2021.03.23 10:37:07
GBP,898.03,870.13,904.65,908.65,901.37,2021.03.23 10:35:32
GBP,898.03,870.13,904.65,908.65,901.37,2021.03.23 10:34:12
GBP,898.1,870.2,904.72,908.72,901.37,2021.03.23 10:32:08
GBP,898.04,870.14,904.66,908.66,901.37,2021.03.23 10:30:00
GBP,898.04,870.14,904.66,908.66,901.37,2021.03.23 10:30:00
GBP,898.04,870.14,904.66,908.66,901.37,2021.03.23 10:28:46
GBP,898.04,870.14,904.66,908.66,901.37,2021.03.23 10:28:46
GBP,898.43,870.52,905.05,909.05,901.37,2021.03.23 10:18:59
GBP,898.49,870.58,905.11,909.11,901.37,2021.03.23 10:18:14
GBP,898.49,870.58,905.11,909.11,901.37,2021.03.23 10:11:24
GBP,898.49,870.58,905.11,909.11,901.37,2021.03.23 10:11:24
GBP,898.49,870.58,905.11,909.11,901.37,2021.03.23 10:10:01
GBP,898.49,870.58,905.11,909.11,901.37,2021.03.23 10:10:01
GBP,898.49,870.58,905.11,909.11,901.37,2021.03.23 10:08:52
GBP,898.48,870.57,905.1,909.1,901.37,2021.03.23 10:08:00
GBP,898.28,870.37,904.9,908.9,901.37,2021.03.23 10:00:40
GBP,898.08,870.18,904.7,908.7,901.37,2021.03.23 09:56:55
GBP,897.96,870.05,904.57,908.57,901.37,2021.03.23 09:52:55
GBP,898.01,870.11,904.63,908.63,901.37,2021.03.23 09:47:07
GBP,898.21,870.3,904.83,908.83,901.37,2021.03.23 09:46:07
GBP,898.07,870.17,904.69,908.69,901.37,2021.03.23 09:42:47
GBP,897.95,870.04,904.56,908.56,901.37,2021.03.23 09:39:42
GBP,898.01,870.11,904.63,908.63,901.37,2021.03.23 09:36:38
