Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
HKD,83.65,82.99,83.99,83.99,83.75,2021.03.23 11:23:34
HKD,83.66,83,84,84,83.75,2021.03.23 11:21:51
HKD,83.66,83,84,84,83.75,2021.03.23 10:58:54
HKD,83.66,83,84,84,83.75,2021.03.23 10:55:37
HKD,83.66,83,84,84,83.75,2021.03.23 10:50:15
HKD,83.66,83,84,84,83.75,2021.03.23 10:48:37
HKD,83.66,83,84,84,83.75,2021.03.23 10:37:55
HKD,83.66,83,84,84,83.75,2021.03.23 10:37:07
HKD,83.67,83.01,84.01,84.01,83.75,2021.03.23 10:35:32
HKD,83.67,83.01,84.01,84.01,83.75,2021.03.23 10:34:12
HKD,83.67,83.01,84.01,84.01,83.75,2021.03.23 10:32:08
HKD,83.68,83.02,84.02,84.02,83.75,2021.03.23 10:30:00
HKD,83.68,83.02,84.02,84.02,83.75,2021.03.23 10:30:00
HKD,83.68,83.02,84.02,84.02,83.75,2021.03.23 10:28:46
HKD,83.68,83.02,84.02,84.02,83.75,2021.03.23 10:28:46
HKD,83.68,83.02,84.02,84.02,83.75,2021.03.23 10:18:59
HKD,83.68,83.02,84.02,84.02,83.75,2021.03.23 10:18:14
HKD,83.67,83.01,84.01,84.01,83.75,2021.03.23 10:11:24
HKD,83.67,83.01,84.01,84.01,83.75,2021.03.23 10:11:24
HKD,83.67,83.01,84.01,84.01,83.75,2021.03.23 10:10:01
HKD,83.67,83.01,84.01,84.01,83.75,2021.03.23 10:10:01
HKD,83.67,83.01,84.01,84.01,83.75,2021.03.23 10:08:52
HKD,83.67,83.01,84.01,84.01,83.75,2021.03.23 10:08:00
HKD,83.65,82.99,83.99,83.99,83.75,2021.03.23 10:00:40
HKD,83.64,82.98,83.98,83.98,83.75,2021.03.23 09:56:55
HKD,83.64,82.98,83.98,83.98,83.75,2021.03.23 09:52:55
HKD,83.63,82.97,83.97,83.97,83.75,2021.03.23 09:47:07
HKD,83.64,82.98,83.98,83.98,83.75,2021.03.23 09:46:07
HKD,83.63,82.97,83.97,83.97,83.75,2021.03.23 09:42:47
HKD,83.63,82.97,83.97,83.97,83.75,2021.03.23 09:39:42
HKD,83.63,82.97,83.97,83.97,83.75,2021.03.23 09:36:38
HKD,83.64,82.98,83.98,83.98,83.75,2021.03.23 09:34:57
HKD,83.63,82.97,83.97,83.97,83.75,2021.03.23 09:33:23
HKD,83.61,82.95,83.95,83.95,83.75,2021.03.23 09:32:41
HKD,83.6,82.94,83.94,83.94,83.75,2021.03.23 09:32:14
HKD,83.6,82.94,83.94,83.94,83.75,2021.03.23 09:30:39
HKD,83.63,82.97,83.97,83.97,83.75,2021.03.23 09:17:59
HKD,83.63,82.97,83.97,83.97,83.75,2021.03.23 09:17:55
HKD,83.63,82.97,83.97,83.97,83.94,2021.03.23 08:26:38
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 07:53:00
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 07:41:55
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 07:31:18
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 07:29:15
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 06:55:13
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 05:30:00
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 05:30:00
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 05:30:00
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 00:00:05
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.22 23:36:58
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.23 00:00:05
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.22 23:36:58
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.22 23:16:00
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.22 23:14:52
HKD,83.62,82.96,83.96,83.96,83.94,2021.03.22 22:48:04
HKD,83.63,82.97,83.97,83.97,83.94,2021.03.22 22:40:50
HKD,83.63,82.97,83.97,83.97,83.94,2021.03.22 22:31:26
HKD,83.63,82.97,83.97,83.97,83.94,2021.03.22 22:15:09
