Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
IDR,,0.0436,,0.0471,,2021.03.23 11:26:40
IDR,,0.0436,,0.0471,,2021.03.23 11:23:34
IDR,,0.0436,,0.0471,,2021.03.23 11:21:51
IDR,,0.0436,,0.0471,,2021.03.23 10:58:54
IDR,,0.0435,,0.047,,2021.03.23 10:55:37
IDR,,0.0435,,0.047,,2021.03.23 10:50:15
IDR,,0.0435,,0.047,,2021.03.23 10:48:37
IDR,,0.0435,,0.047,,2021.03.23 10:37:55
IDR,,0.0435,,0.047,,2021.03.23 10:37:07
IDR,,0.0436,,0.0471,,2021.03.23 10:35:32
IDR,,0.0436,,0.0471,,2021.03.23 10:34:12
IDR,,0.0436,,0.0471,,2021.03.23 10:32:08
IDR,,0.0436,,0.0471,,2021.03.23 10:30:00
IDR,,0.0436,,0.0471,,2021.03.23 10:30:00
IDR,,0.0436,,0.0471,,2021.03.23 10:28:46
IDR,,0.0436,,0.0471,,2021.03.23 10:28:46
IDR,,0.0436,,0.0471,,2021.03.23 10:18:59
IDR,,0.0436,,0.0471,,2021.03.23 10:18:14
IDR,,0.0436,,0.0471,,2021.03.23 10:11:24
IDR,,0.0436,,0.0471,,2021.03.23 10:11:24
IDR,,0.0436,,0.0471,,2021.03.23 10:10:01
IDR,,0.0436,,0.0471,,2021.03.23 10:10:01
IDR,,0.0436,,0.0471,,2021.03.23 10:08:52
IDR,,0.0436,,0.0471,,2021.03.23 10:08:00
IDR,,0.0436,,0.0471,,2021.03.23 10:00:40
IDR,,0.0436,,0.0471,,2021.03.23 09:56:55
IDR,,0.0436,,0.0471,,2021.03.23 09:52:55
IDR,,0.0436,,0.0471,,2021.03.23 09:47:07
IDR,,0.0436,,0.0471,,2021.03.23 09:46:07
IDR,,0.0436,,0.0471,,2021.03.23 09:42:47
IDR,,0.0436,,0.0471,,2021.03.23 09:39:42
IDR,,0.0436,,0.0471,,2021.03.23 09:36:38
IDR,,0.0436,,0.0471,,2021.03.23 09:34:57
IDR,,0.0436,,0.0471,,2021.03.23 09:33:23
IDR,,0.0436,,0.0471,,2021.03.23 09:32:41
IDR,,0.0436,,0.0471,,2021.03.23 09:32:14
IDR,,0.0436,,0.0471,,2021.03.23 09:30:39
IDR,,0.0436,,0.0471,,2021.03.23 09:17:59
IDR,,0.0436,,0.0471,,2021.03.23 09:17:55
IDR,,0.0436,,0.0471,,2021.03.23 08:26:38
IDR,,0.0436,,0.0471,,2021.03.23 07:53:00
IDR,,0.0436,,0.0471,,2021.03.23 07:41:55
IDR,,0.0436,,0.0471,,2021.03.23 07:31:18
IDR,,0.0436,,0.0471,,2021.03.23 07:29:15
IDR,,0.0436,,0.0471,,2021.03.23 06:55:13
IDR,,0.0436,,0.0471,,2021.03.23 05:30:00
IDR,,0.0436,,0.0471,,2021.03.23 05:30:00
IDR,,0.0436,,0.0471,,2021.03.23 05:30:00
IDR,,0.0436,,0.0471,,2021.03.23 00:00:05
IDR,,0.0436,,0.0471,,2021.03.22 23:36:58
IDR,,0.0436,,0.0471,,2021.03.23 00:00:05
IDR,,0.0436,,0.0471,,2021.03.22 23:36:58
IDR,,0.0436,,0.0471,,2021.03.22 23:16:00
IDR,,0.0436,,0.0471,,2021.03.22 23:14:52
IDR,,0.0436,,0.0471,,2021.03.22 22:48:04
IDR,,0.0436,,0.0471,,2021.03.22 22:40:50
IDR,,0.0436,,0.0471,,2021.03.22 22:31:26
IDR,,0.0436,,0.0471,,2021.03.22 22:15:09
IDR,,0.0436,,0.0471,,2021.03.22 22:05:12
IDR,,0.0436,,0.0471,,2021.03.22 21:47:07
IDR,,0.0436,,0.0471,,2021.03.22 21:43:44
IDR,,0.0436,,0.0471,,2021.03.22 21:25:26
IDR,,0.0436,,0.0471,,2021.03.22 20:20:46
IDR,,0.0436,,0.0471,,2021.03.22 19:37:37
IDR,,0.0436,,0.0471,,2021.03.22 19:29:15
IDR,,0.0436,,0.0471,,2021.03.22 19:23:26
IDR,,0.0436,,0.0471,,2021.03.22 19:13:25
IDR,,0.0436,,0.0471,,2021.03.22 19:10:08
IDR,,0.0436,,0.0471,,2021.03.22 19:09:13
IDR,,0.0436,,0.0471,,2021.03.22 19:07:22
IDR,,0.0436,,0.0471,,2021.03.22 19:04:07
IDR,,0.0436,,0.0471,,2021.03.22 19:00:40
IDR,,0.0436,,0.0471,,2021.03.22 18:58:15
IDR,,0.0436,,0.0471,,2021.03.22 18:54:52
IDR,,0.0436,,0.0471,,2021.03.22 18:53:22
IDR,,0.0436,,0.0471,,2021.03.22 18:50:27
IDR,,0.0436,,0.0471,,2021.03.22 18:48:38
