Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
INR,,8.4513,,9.5301,,2021.03.23 11:26:40
INR,,8.4501,,9.5289,,2021.03.23 11:23:34
INR,,8.4505,,9.5293,,2021.03.23 11:21:51
INR,,8.453,,9.5321,,2021.03.23 10:58:54
INR,,8.4508,,9.5296,,2021.03.23 10:55:37
INR,,8.4513,,9.5301,,2021.03.23 10:50:15
INR,,8.452,,9.531,,2021.03.23 10:48:37
INR,,8.4513,,9.5301,,2021.03.23 10:37:55
INR,,8.4519,,9.5309,,2021.03.23 10:37:07
INR,,8.4503,,9.5291,,2021.03.23 10:35:32
INR,,8.4515,,9.5305,,2021.03.23 10:34:12
INR,,8.4494,,9.528,,2021.03.23 10:32:08
INR,,8.4525,,9.5315,,2021.03.23 10:30:00
INR,,8.4525,,9.5315,,2021.03.23 10:30:00
INR,,8.4525,,9.5315,,2021.03.23 10:28:46
INR,,8.4525,,9.5315,,2021.03.23 10:28:46
INR,,8.4564,,9.536,,2021.03.23 10:18:59
INR,,8.4558,,9.5352,,2021.03.23 10:18:14
INR,,8.455,,9.5344,,2021.03.23 10:11:24
INR,,8.455,,9.5344,,2021.03.23 10:11:24
INR,,8.455,,9.5344,,2021.03.23 10:10:01
INR,,8.455,,9.5344,,2021.03.23 10:10:01
INR,,8.455,,9.5344,,2021.03.23 10:08:52
INR,,8.45,,9.5288,,2021.03.23 10:08:00
INR,,8.4492,,9.5278,,2021.03.23 10:00:40
INR,,8.4491,,9.5277,,2021.03.23 09:56:55
INR,,8.4488,,9.5274,,2021.03.23 09:52:55
INR,,8.4488,,9.5274,,2021.03.23 09:47:07
INR,,8.4495,,9.5281,,2021.03.23 09:46:07
INR,,8.4502,,9.529,,2021.03.23 09:42:47
INR,,8.4513,,9.5301,,2021.03.23 09:39:42
INR,,8.4519,,9.5309,,2021.03.23 09:36:38
INR,,8.4526,,9.5316,,2021.03.23 09:34:57
INR,,8.4513,,9.5301,,2021.03.23 09:33:23
INR,,8.4494,,9.528,,2021.03.23 09:32:41
INR,,8.4487,,9.5273,,2021.03.23 09:32:14
INR,,8.4481,,9.5265,,2021.03.23 09:30:39
INR,,8.4513,,9.5301,,2021.03.23 09:17:59
INR,,8.4513,,9.5301,,2021.03.23 09:17:55
INR,,8.4513,,9.5301,,2021.03.23 08:26:38
INR,,8.4513,,9.5301,,2021.03.23 07:53:00
INR,,8.4513,,9.5301,,2021.03.23 07:41:55
INR,,8.4513,,9.5301,,2021.03.23 07:31:18
INR,,8.4513,,9.5301,,2021.03.23 07:29:15
INR,,8.4524,,9.5314,,2021.03.23 06:55:13
INR,,8.4524,,9.5314,,2021.03.23 05:30:00
INR,,8.4524,,9.5314,,2021.03.23 05:30:00
INR,,8.4524,,9.5314,,2021.03.23 05:30:00
INR,,8.4524,,9.5314,,2021.03.23 00:00:05
INR,,8.4524,,9.5314,,2021.03.22 23:36:58
INR,,8.4524,,9.5314,,2021.03.23 00:00:05
INR,,8.4524,,9.5314,,2021.03.22 23:36:58
INR,,8.4525,,9.5315,,2021.03.22 23:16:00
INR,,8.4518,,9.5308,,2021.03.22 23:14:52
INR,,8.4517,,9.5307,,2021.03.22 22:48:04
INR,,8.4526,,9.5316,,2021.03.22 22:40:50
INR,,8.4519,,9.5309,,2021.03.22 22:31:26
INR,,8.453,,9.5321,,2021.03.22 22:15:09
INR,,8.4535,,9.5327,,2021.03.22 22:05:12
INR,,8.4505,,9.5293,,2021.03.22 21:47:07
INR,,8.4488,,9.5274,,2021.03.22 21:43:44
INR,,8.452,,9.531,,2021.03.22 21:25:26
INR,,8.4545,,9.5337,,2021.03.22 20:20:46
INR,,8.457,,9.5366,,2021.03.22 19:37:37
INR,,8.4561,,9.5357,,2021.03.22 19:29:15
INR,,8.4577,,9.5375,,2021.03.22 19:23:26
INR,,8.4577,,9.5375,,2021.03.22 19:13:25
INR,,8.457,,9.5366,,2021.03.22 19:10:08
INR,,8.4567,,9.5363,,2021.03.22 19:09:13
INR,,8.4577,,9.5375,,2021.03.22 19:07:22
INR,,8.4577,,9.5375,,2021.03.22 19:04:07
INR,,8.4569,,9.5365,,2021.03.22 19:00:40
INR,,8.457,,9.5366,,2021.03.22 18:58:15
INR,,8.4557,,9.5351,,2021.03.22 18:54:52
INR,,8.4546,,9.534,,2021.03.22 18:53:22
INR,,8.4543,,9.5335,,2021.03.22 18:50:27
INR,,8.4542,,9.5334,,2021.03.22 18:48:38
INR,,8.4537,,9.5329,,2021.03.22 18:45:38
INR,,8.4535,,9.5327,,2021.03.22 18:36:10
INR,,8.4561,,9.5355,,2021.03.22 18:15:09
INR,,8.4577,,9.5374,,2021.03.22 18:14:39
INR,,8.4577,,9.5374,,2021.03.22 18:14:29
INR,,8.4488,,9.5274,,2021.03.22 17:55:13
INR,,8.4535,,9.5327,,2021.03.22 17:17:53
INR,,8.4526,,9.5316,,2021.03.22 17:07:50
INR,,8.4514,,9.5304,,2021.03.22 17:00:09
INR,,8.4531,,9.5323,,2021.03.22 16:52:39
INR,,8.4514,,9.5302,,2021.03.22 16:47:59
INR,,8.4499,,9.5287,,2021.03.22 16:45:59
INR,,8.4492,,9.5278,,2021.03.22 16:41:45
INR,,8.4483,,9.5268,,2021.03.22 16:39:51
