Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
JPY,5.9661,5.7807,6.0099,6.0192,5.9782,2021.03.23 11:23:34
JPY,5.9666,5.7812,6.0104,6.0197,5.9782,2021.03.23 11:21:51
JPY,5.9655,5.7801,6.0093,6.0186,5.9782,2021.03.23 10:58:54
JPY,5.9654,5.78,6.0092,6.0185,5.9782,2021.03.23 10:55:37
JPY,5.965,5.7796,6.0088,6.0181,5.9782,2021.03.23 10:50:15
JPY,5.9654,5.78,6.0092,6.0185,5.9782,2021.03.23 10:48:37
JPY,5.9655,5.7801,6.0093,6.0186,5.9782,2021.03.23 10:37:55
JPY,5.966,5.7806,6.0098,6.0191,5.9782,2021.03.23 10:37:07
JPY,5.9664,5.781,6.0102,6.0195,5.9782,2021.03.23 10:35:32
JPY,5.967,5.7816,6.0108,6.0201,5.9782,2021.03.23 10:34:12
JPY,5.967,5.7816,6.0108,6.0201,5.9782,2021.03.23 10:32:08
JPY,5.9685,5.783,6.0124,6.0216,5.9782,2021.03.23 10:30:00
JPY,5.9685,5.783,6.0124,6.0216,5.9782,2021.03.23 10:30:00
JPY,5.9685,5.783,6.0124,6.0216,5.9782,2021.03.23 10:28:46
JPY,5.9685,5.783,6.0124,6.0216,5.9782,2021.03.23 10:28:46
JPY,5.969,5.7835,6.0129,6.0221,5.9782,2021.03.23 10:18:59
JPY,5.9691,5.7836,6.013,6.0222,5.9782,2021.03.23 10:18:14
JPY,5.9692,5.7837,6.0131,6.0223,5.9782,2021.03.23 10:11:24
JPY,5.9692,5.7837,6.0131,6.0223,5.9782,2021.03.23 10:11:24
JPY,5.9692,5.7837,6.0131,6.0223,5.9782,2021.03.23 10:10:01
JPY,5.9692,5.7837,6.0131,6.0223,5.9782,2021.03.23 10:10:01
JPY,5.9692,5.7837,6.0131,6.0223,5.9782,2021.03.23 10:08:52
JPY,5.9693,5.7838,6.0132,6.0224,5.9782,2021.03.23 10:08:00
JPY,5.9656,5.7802,6.0094,6.0187,5.9782,2021.03.23 10:00:40
JPY,5.9641,5.7788,6.0079,6.0172,5.9782,2021.03.23 09:56:55
JPY,5.9635,5.7782,6.0073,6.0166,5.9782,2021.03.23 09:52:55
JPY,5.9609,5.7757,6.0047,6.014,5.9782,2021.03.23 09:47:07
JPY,5.9614,5.7762,6.0052,6.0145,5.9782,2021.03.23 09:46:07
JPY,5.9609,5.7757,6.0047,6.014,5.9782,2021.03.23 09:42:47
JPY,5.9594,5.7742,6.0032,6.0125,5.9782,2021.03.23 09:39:42
JPY,5.9593,5.7741,6.0031,6.0124,5.9782,2021.03.23 09:36:38
JPY,5.9597,5.7745,6.0035,6.0128,5.9782,2021.03.23 09:34:57
JPY,5.9588,5.7736,6.0026,6.0119,5.9782,2021.03.23 09:33:23
JPY,5.9574,5.7723,6.0012,6.0105,5.9782,2021.03.23 09:32:41
JPY,5.9575,5.7724,6.0013,6.0106,5.9782,2021.03.23 09:32:14
JPY,5.9576,5.7725,6.0014,6.0107,5.9782,2021.03.23 09:30:39
JPY,5.9583,5.7732,6.0021,6.0114,5.9782,2021.03.23 09:17:59
JPY,5.9583,5.7732,6.0021,6.0114,5.9782,2021.03.23 09:17:55
JPY,5.9588,5.7736,6.0026,6.0119,5.9857,2021.03.23 08:26:38
JPY,5.961,5.7758,6.0048,6.0141,5.9857,2021.03.23 07:53:00
JPY,5.961,5.7758,6.0048,6.0141,5.9857,2021.03.23 07:41:55
JPY,5.961,5.7758,6.0048,6.0141,5.9857,2021.03.23 07:31:18
JPY,5.9616,5.7763,6.0054,6.0147,5.9857,2021.03.23 07:29:15
JPY,5.9616,5.7763,6.0054,6.0147,5.9857,2021.03.23 06:55:13
JPY,5.9671,5.7817,6.0109,6.0202,5.9857,2021.03.23 05:30:00
JPY,5.9671,5.7817,6.0109,6.0202,5.9857,2021.03.23 05:30:00
JPY,5.9671,5.7817,6.0109,6.0202,5.9857,2021.03.23 05:30:00
JPY,5.9671,5.7817,6.0109,6.0202,5.9857,2021.03.23 00:00:05
JPY,5.9671,5.7817,6.0109,6.0202,5.9857,2021.03.22 23:36:58
JPY,5.9671,5.7817,6.0109,6.0202,5.9857,2021.03.23 00:00:05
