Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
KRW,0.5749,0.5547,0.5795,0.6007,0.5769,2021.03.23 11:26:40
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 11:23:34
KRW,0.5749,0.5547,0.5795,0.6007,0.5769,2021.03.23 11:21:51
KRW,0.5747,0.5545,0.5793,0.6005,0.5769,2021.03.23 10:58:54
KRW,0.5747,0.5545,0.5793,0.6005,0.5769,2021.03.23 10:55:37
KRW,0.5746,0.5544,0.5792,0.6004,0.5769,2021.03.23 10:50:15
KRW,0.5747,0.5545,0.5793,0.6005,0.5769,2021.03.23 10:48:37
KRW,0.5746,0.5544,0.5792,0.6004,0.5769,2021.03.23 10:37:55
KRW,0.5747,0.5545,0.5793,0.6005,0.5769,2021.03.23 10:37:07
KRW,0.5747,0.5545,0.5793,0.6005,0.5769,2021.03.23 10:35:32
KRW,0.5747,0.5545,0.5793,0.6005,0.5769,2021.03.23 10:34:12
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:32:08
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:30:00
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:30:00
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:28:46
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:28:46
KRW,0.5747,0.5545,0.5793,0.6005,0.5769,2021.03.23 10:18:59
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:18:14
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:11:24
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:11:24
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:10:01
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:10:01
KRW,0.5748,0.5546,0.5794,0.6006,0.5769,2021.03.23 10:08:52
KRW,0.5749,0.5547,0.5795,0.6007,0.5769,2021.03.23 10:08:00
KRW,0.5746,0.5544,0.5792,0.6004,0.5769,2021.03.23 10:00:40
KRW,0.5746,0.5544,0.5792,0.6004,0.5769,2021.03.23 09:56:55
KRW,0.5745,0.5543,0.5791,0.6003,0.5769,2021.03.23 09:52:55
KRW,0.5745,0.5543,0.5791,0.6003,0.5769,2021.03.23 09:47:07
KRW,0.5746,0.5544,0.5792,0.6004,0.5769,2021.03.23 09:46:07
KRW,0.5745,0.5543,0.5791,0.6003,0.5769,2021.03.23 09:42:47
KRW,0.5745,0.5543,0.5791,0.6003,0.5769,2021.03.23 09:39:42
KRW,0.5745,0.5543,0.5791,0.6003,0.5769,2021.03.23 09:36:38
KRW,0.5744,0.5542,0.579,0.6002,0.5769,2021.03.23 09:34:57
KRW,0.5744,0.5542,0.579,0.6002,0.5769,2021.03.23 09:33:23
KRW,0.5744,0.5542,0.579,0.6002,0.5769,2021.03.23 09:32:41
KRW,0.5744,0.5542,0.579,0.6002,0.5769,2021.03.23 09:32:14
KRW,0.5745,0.5543,0.5791,0.6003,0.5769,2021.03.23 09:30:39
KRW,0.5746,0.5544,0.5792,0.6004,0.5769,2021.03.23 09:17:59
KRW,0.5746,0.5544,0.5792,0.6004,0.5769,2021.03.23 09:17:55
KRW,0.5749,0.5547,0.5795,0.6007,0.576,2021.03.23 08:26:38
KRW,0.5755,0.5553,0.5801,0.6014,0.576,2021.03.23 07:53:00
KRW,0.5755,0.5553,0.5801,0.6014,0.576,2021.03.23 07:41:55
KRW,0.5755,0.5553,0.5801,0.6014,0.576,2021.03.23 07:31:18
KRW,0.5755,0.5553,0.5801,0.6014,0.576,2021.03.23 07:29:15
KRW,0.5754,0.5552,0.58,0.6013,0.576,2021.03.23 06:55:13
KRW,0.5752,0.555,0.5798,0.6011,0.576,2021.03.23 05:30:00
KRW,0.5752,0.555,0.5798,0.6011,0.576,2021.03.23 05:30:00
KRW,0.5752,0.555,0.5798,0.6011,0.576,2021.03.23 05:30:00
KRW,0.5752,0.555,0.5798,0.6011,0.576,2021.03.23 00:00:05
