Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
MOP,81.31,78.58,81.63,84.35,,2021.03.23 11:23:34
MOP,81.32,78.59,81.64,84.36,,2021.03.23 11:21:51
MOP,81.32,78.59,81.64,84.36,,2021.03.23 10:58:54
MOP,81.32,78.59,81.64,84.36,,2021.03.23 10:55:37
MOP,81.32,78.59,81.64,84.36,,2021.03.23 10:50:15
MOP,81.32,78.59,81.64,84.36,,2021.03.23 10:48:37
MOP,81.32,78.59,81.64,84.36,,2021.03.23 10:37:55
MOP,81.32,78.59,81.64,84.36,,2021.03.23 10:37:07
MOP,81.33,78.6,81.65,84.37,,2021.03.23 10:35:32
MOP,81.33,78.6,81.65,84.37,,2021.03.23 10:34:12
MOP,81.33,78.6,81.65,84.37,,2021.03.23 10:32:08
MOP,81.34,78.61,81.66,84.38,,2021.03.23 10:30:00
MOP,81.34,78.61,81.66,84.38,,2021.03.23 10:30:00
MOP,81.34,78.61,81.66,84.38,,2021.03.23 10:28:46
MOP,81.34,78.61,81.66,84.38,,2021.03.23 10:28:46
MOP,81.34,78.61,81.66,84.38,,2021.03.23 10:18:59
MOP,81.34,78.61,81.66,84.38,,2021.03.23 10:18:14
MOP,81.33,78.6,81.65,84.37,,2021.03.23 10:11:24
MOP,81.33,78.6,81.65,84.37,,2021.03.23 10:11:24
MOP,81.33,78.6,81.65,84.37,,2021.03.23 10:10:01
MOP,81.33,78.6,81.65,84.37,,2021.03.23 10:10:01
MOP,81.33,78.6,81.65,84.37,,2021.03.23 10:08:52
MOP,81.33,78.6,81.65,84.37,,2021.03.23 10:08:00
MOP,81.31,78.58,81.63,84.35,,2021.03.23 10:00:40
MOP,81.3,78.57,81.62,84.34,,2021.03.23 09:56:55
MOP,81.3,78.57,81.62,84.34,,2021.03.23 09:52:55
MOP,81.29,78.56,81.61,84.33,,2021.03.23 09:47:07
MOP,81.3,78.57,81.62,84.34,,2021.03.23 09:46:07
MOP,81.29,78.56,81.61,84.33,,2021.03.23 09:42:47
MOP,81.29,78.56,81.61,84.33,,2021.03.23 09:39:42
MOP,81.29,78.56,81.61,84.33,,2021.03.23 09:36:38
MOP,81.3,78.57,81.62,84.34,,2021.03.23 09:34:57
MOP,81.29,78.56,81.61,84.33,,2021.03.23 09:33:23
MOP,81.28,78.55,81.6,84.32,,2021.03.23 09:32:41
MOP,81.27,78.54,81.59,84.31,,2021.03.23 09:32:14
MOP,81.27,78.54,81.59,84.31,,2021.03.23 09:30:39
MOP,81.29,78.56,81.61,84.33,,2021.03.23 09:17:59
MOP,81.29,78.56,81.61,84.33,,2021.03.23 09:17:55
MOP,81.29,78.56,81.61,84.33,,2021.03.23 08:26:38
MOP,81.29,78.56,81.61,84.33,,2021.03.23 07:53:00
MOP,81.29,78.56,81.61,84.33,,2021.03.23 07:41:55
MOP,81.29,78.56,81.61,84.33,,2021.03.23 07:31:18
MOP,81.29,78.56,81.61,84.33,,2021.03.23 07:29:15
MOP,81.29,78.56,81.61,84.33,,2021.03.23 06:55:13
MOP,81.29,78.56,81.61,84.33,,2021.03.23 05:30:00
MOP,81.29,78.56,81.61,84.33,,2021.03.23 05:30:00
MOP,81.29,78.56,81.61,84.33,,2021.03.23 05:30:00
MOP,81.29,78.56,81.61,84.33,,2021.03.23 00:00:05
MOP,81.29,78.56,81.61,84.33,,2021.03.22 23:36:58
MOP,81.29,78.56,81.61,84.33,,2021.03.23 00:00:05
MOP,81.29,78.56,81.61,84.33,,2021.03.22 23:36:58
MOP,81.29,78.56,81.61,84.33,,2021.03.22 23:16:00
MOP,81.29,78.56,81.61,84.33,,2021.03.22 23:14:52
MOP,81.29,78.56,81.61,84.33,,2021.03.22 22:48:04
MOP,81.29,78.56,81.61,84.33,,2021.03.22 22:40:50
MOP,81.29,78.56,81.61,84.33,,2021.03.22 22:31:26
MOP,81.29,78.56,81.61,84.33,,2021.03.22 22:15:09
MOP,81.29,78.56,81.61,84.33,,2021.03.22 22:05:12
MOP,81.29,78.56,81.61,84.33,,2021.03.22 21:47:07
