Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
MYR,157.64,,159.06,,158.13,2021.03.23 11:26:40
MYR,157.63,,159.05,,158.13,2021.03.23 11:23:34
MYR,157.64,,159.06,,158.13,2021.03.23 11:21:51
MYR,157.64,,159.06,,158.13,2021.03.23 10:58:54
MYR,157.65,,159.07,,158.13,2021.03.23 10:55:37
MYR,157.64,,159.06,,158.13,2021.03.23 10:50:15
MYR,157.65,,159.07,,158.13,2021.03.23 10:48:37
MYR,157.64,,159.06,,158.13,2021.03.23 10:37:55
MYR,157.65,,159.07,,158.13,2021.03.23 10:37:07
MYR,157.66,,159.08,,158.13,2021.03.23 10:35:32
MYR,157.66,,159.08,,158.13,2021.03.23 10:34:12
MYR,157.9,,159.32,,158.13,2021.03.23 10:32:08
MYR,157.92,,159.34,,158.13,2021.03.23 10:30:00
MYR,157.92,,159.34,,158.13,2021.03.23 10:30:00
MYR,157.92,,159.34,,158.13,2021.03.23 10:28:46
MYR,157.92,,159.34,,158.13,2021.03.23 10:28:46
MYR,157.93,,159.35,,158.13,2021.03.23 10:18:59
MYR,157.92,,159.34,,158.13,2021.03.23 10:18:14
MYR,157.9,,159.32,,158.13,2021.03.23 10:11:24
MYR,157.9,,159.32,,158.13,2021.03.23 10:11:24
MYR,157.9,,159.32,,158.13,2021.03.23 10:10:01
MYR,157.9,,159.32,,158.13,2021.03.23 10:10:01
MYR,157.9,,159.32,,158.13,2021.03.23 10:08:52
MYR,157.89,,159.31,,158.13,2021.03.23 10:08:00
MYR,157.87,,159.29,,158.13,2021.03.23 10:00:40
MYR,157.84,,159.26,,158.13,2021.03.23 09:56:55
MYR,157.85,,159.27,,158.13,2021.03.23 09:52:55
MYR,157.83,,159.25,,158.13,2021.03.23 09:47:07
MYR,157.84,,159.26,,158.13,2021.03.23 09:46:07
MYR,157.83,,159.25,,158.13,2021.03.23 09:42:47
MYR,157.82,,159.24,,158.13,2021.03.23 09:39:42
MYR,157.83,,159.25,,158.13,2021.03.23 09:36:38
MYR,157.84,,159.26,,158.13,2021.03.23 09:34:57
MYR,157.82,,159.24,,158.13,2021.03.23 09:33:23
MYR,157.78,,159.2,,158.13,2021.03.23 09:32:41
MYR,157.77,,159.19,,158.13,2021.03.23 09:32:14
MYR,157.76,,159.18,,158.13,2021.03.23 09:30:39
MYR,157.82,,159.24,,158.13,2021.03.23 09:17:59
MYR,157.82,,159.24,,158.13,2021.03.23 09:17:55
MYR,157.82,,159.24,,158.62,2021.03.23 08:26:38
MYR,157.82,,159.24,,158.62,2021.03.23 07:53:00
MYR,157.82,,159.24,,158.62,2021.03.23 07:41:55
MYR,157.82,,159.24,,158.62,2021.03.23 07:31:18
MYR,157.82,,159.24,,158.62,2021.03.23 07:29:15
MYR,157.82,,159.24,,158.62,2021.03.23 06:55:13
