Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
NOK,75.98,73.64,76.6,76.96,76.49,2021.03.23 11:23:34
NOK,76,73.66,76.62,76.98,76.49,2021.03.23 11:21:51
NOK,75.99,73.65,76.61,76.97,76.49,2021.03.23 10:58:54
NOK,76,73.66,76.62,76.98,76.49,2021.03.23 10:55:37
NOK,76,73.66,76.62,76.98,76.49,2021.03.23 10:50:15
NOK,75.99,73.65,76.61,76.97,76.49,2021.03.23 10:48:37
NOK,76.02,73.68,76.64,77,76.49,2021.03.23 10:37:55
NOK,76.01,73.67,76.63,76.99,76.49,2021.03.23 10:37:07
NOK,76.01,73.67,76.63,76.99,76.49,2021.03.23 10:35:32
NOK,76.01,73.67,76.63,76.99,76.49,2021.03.23 10:34:12
NOK,76.01,73.67,76.63,76.99,76.49,2021.03.23 10:32:08
NOK,76.05,73.71,76.67,77.03,76.49,2021.03.23 10:30:00
NOK,76.05,73.71,76.67,77.03,76.49,2021.03.23 10:30:00
NOK,76.05,73.71,76.67,77.03,76.49,2021.03.23 10:28:46
NOK,76.05,73.71,76.67,77.03,76.49,2021.03.23 10:28:46
NOK,76.09,73.75,76.71,77.07,76.49,2021.03.23 10:18:59
NOK,76.1,73.75,76.72,77.08,76.49,2021.03.23 10:18:14
NOK,76.11,73.76,76.73,77.09,76.49,2021.03.23 10:11:24
NOK,76.11,73.76,76.73,77.09,76.49,2021.03.23 10:11:24
NOK,76.11,73.76,76.73,77.09,76.49,2021.03.23 10:10:01
NOK,76.11,73.76,76.73,77.09,76.49,2021.03.23 10:10:01
NOK,76.11,73.76,76.73,77.09,76.49,2021.03.23 10:08:52
NOK,76.1,73.75,76.72,77.08,76.49,2021.03.23 10:08:00
NOK,76.09,73.75,76.71,77.07,76.49,2021.03.23 10:00:40
NOK,76.09,73.75,76.71,77.07,76.49,2021.03.23 09:56:55
NOK,76.09,73.75,76.71,77.07,76.49,2021.03.23 09:52:55
NOK,76.09,73.75,76.71,77.07,76.49,2021.03.23 09:47:07
NOK,76.12,73.77,76.74,77.1,76.49,2021.03.23 09:46:07
NOK,76.11,73.76,76.73,77.09,76.49,2021.03.23 09:42:47
NOK,76.12,73.77,76.74,77.1,76.49,2021.03.23 09:39:42
NOK,76.14,73.79,76.76,77.12,76.49,2021.03.23 09:36:38
NOK,76.11,73.76,76.73,77.09,76.49,2021.03.23 09:34:57
NOK,76.16,73.81,76.78,77.14,76.49,2021.03.23 09:33:23
NOK,76.13,73.78,76.75,77.11,76.49,2021.03.23 09:32:41
NOK,76.11,73.76,76.73,77.09,76.49,2021.03.23 09:32:14
NOK,76.12,73.77,76.74,77.1,76.49,2021.03.23 09:30:39
NOK,76.19,73.84,76.81,77.17,76.49,2021.03.23 09:17:59
NOK,76.19,73.84,76.81,77.17,76.49,2021.03.23 09:17:55
NOK,76.21,73.86,76.83,77.19,76.18,2021.03.23 08:26:38
NOK,76.2,73.85,76.82,77.18,76.18,2021.03.23 07:53:00
NOK,76.22,73.87,76.84,77.2,76.18,2021.03.23 07:41:55
NOK,76.23,73.88,76.85,77.21,76.18,2021.03.23 07:31:18
NOK,76.21,73.86,76.83,77.19,76.18,2021.03.23 07:29:15
NOK,76.24,73.89,76.86,77.22,76.18,2021.03.23 06:55:13
NOK,76.35,74,76.97,77.33,76.18,2021.03.23 05:30:00
NOK,76.35,74,76.97,77.33,76.18,2021.03.23 05:30:00
NOK,76.35,74,76.97,77.33,76.18,2021.03.23 05:30:00
NOK,76.35,74,76.97,77.33,76.18,2021.03.23 00:00:05
NOK,76.35,74,76.97,77.33,76.18,2021.03.22 23:36:58
NOK,76.35,74,76.97,77.33,76.18,2021.03.23 00:00:05
NOK,76.35,74,76.97,77.33,76.18,2021.03.22 23:36:58
NOK,76.19,73.84,76.81,77.17,76.18,2021.03.22 23:16:00
NOK,76.2,73.85,76.82,77.18,76.18,2021.03.22 23:14:52
NOK,76.23,73.88,76.85,77.21,76.18,2021.03.22 22:48:04
NOK,76.14,73.79,76.76,77.12,76.18,2021.03.22 22:40:50
NOK,76.13,73.78,76.75,77.11,76.18,2021.03.22 22:31:26
NOK,76.13,73.78,76.75,77.11,76.18,2021.03.22 22:15:09
NOK,76.19,73.84,76.81,77.17,76.18,2021.03.22 22:05:12
NOK,76.09,73.75,76.71,77.07,76.18,2021.03.22 21:47:07
NOK,76.07,73.73,76.69,77.05,76.18,2021.03.22 21:43:44
NOK,76.15,73.8,76.77,77.13,76.18,2021.03.22 21:25:26
NOK,76.16,73.81,76.78,77.14,76.18,2021.03.22 20:20:46
NOK,76.13,73.78,76.75,77.11,76.18,2021.03.22 19:37:37
NOK,76.02,73.68,76.64,77,76.18,2021.03.22 19:29:15
NOK,76.06,73.72,76.68,77.04,76.18,2021.03.22 19:23:26
NOK,76,73.66,76.62,76.98,76.18,2021.03.22 19:13:25
NOK,75.96,73.62,76.58,76.94,76.18,2021.03.22 19:10:08
NOK,75.98,73.64,76.6,76.96,76.18,2021.03.22 19:09:13
NOK,75.95,73.6,76.56,76.92,76.18,2021.03.22 19:07:22
NOK,76.03,73.69,76.65,77.01,76.18,2021.03.22 19:04:07
NOK,75.95,73.6,76.56,76.92,76.18,2021.03.22 19:00:40
NOK,75.92,73.57,76.52,76.89,76.18,2021.03.22 18:58:15
NOK,75.83,73.48,76.43,76.8,76.18,2021.03.22 18:54:52
NOK,75.86,73.51,76.46,76.83,76.18,2021.03.22 18:53:22
NOK,75.89,73.54,76.49,76.86,76.18,2021.03.22 18:50:27
NOK,75.89,73.54,76.49,76.86,76.18,2021.03.22 18:48:38
NOK,75.85,73.5,76.45,76.82,76.18,2021.03.22 18:45:38
NOK,75.84,73.49,76.44,76.81,76.18,2021.03.22 18:36:10
NOK,75.98,73.64,76.6,76.96,76.18,2021.03.22 18:15:09
NOK,75.99,73.65,76.61,76.97,76.18,2021.03.22 18:14:39
NOK,76,73.66,76.62,76.98,76.18,2021.03.22 18:14:29
NOK,75.85,73.5,76.45,76.82,76.18,2021.03.22 17:55:13
NOK,75.75,73.41,76.35,76.72,76.18,2021.03.22 17:17:53
NOK,75.84,73.49,76.44,76.81,76.18,2021.03.22 17:07:50
NOK,75.82,73.47,76.42,76.79,76.18,2021.03.22 17:00:09
NOK,75.78,73.44,76.38,76.75,76.18,2021.03.22 16:52:39
NOK,75.73,73.39,76.33,76.7,76.18,2021.03.22 16:47:59
NOK,75.79,73.45,76.39,76.76,76.18,2021.03.22 16:45:59
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 16:41:45
NOK,75.71,73.37,76.31,76.68,76.18,2021.03.22 16:39:51
NOK,75.81,73.47,76.41,76.78,76.18,2021.03.22 16:33:05
NOK,75.77,73.43,76.37,76.74,76.18,2021.03.22 16:31:51
NOK,75.68,73.34,76.28,76.65,76.18,2021.03.22 16:29:06
NOK,75.64,73.3,76.24,76.61,76.18,2021.03.22 16:26:23
NOK,75.72,73.38,76.32,76.69,76.18,2021.03.22 16:22:16
NOK,75.65,73.31,76.25,76.62,76.18,2021.03.22 16:17:21
NOK,75.53,73.19,76.13,76.5,76.18,2021.03.22 16:12:16
NOK,75.56,73.22,76.16,76.53,76.18,2021.03.22 16:11:31
NOK,75.5,73.17,76.1,76.47,76.18,2021.03.22 16:07:11
NOK,75.56,73.22,76.16,76.53,76.18,2021.03.22 16:05:28
NOK,75.55,73.21,76.15,76.52,76.18,2021.03.22 16:03:53
NOK,75.51,73.18,76.11,76.48,76.18,2021.03.22 16:01:40
NOK,75.55,73.21,76.15,76.52,76.18,2021.03.22 15:58:32
NOK,75.58,73.24,76.18,76.55,76.18,2021.03.22 15:56:53
NOK,75.55,73.21,76.15,76.52,76.18,2021.03.22 15:55:55
NOK,75.5,73.17,76.1,76.47,76.18,2021.03.22 15:54:42
NOK,75.47,73.14,76.07,76.44,76.18,2021.03.22 15:48:42
NOK,75.55,73.21,76.15,76.52,76.18,2021.03.22 15:45:06
NOK,75.57,73.23,76.17,76.54,76.18,2021.03.22 15:41:11
NOK,75.58,73.24,76.18,76.55,76.18,2021.03.22 15:39:29
NOK,75.54,73.2,76.14,76.51,76.18,2021.03.22 15:38:29
NOK,75.61,73.27,76.21,76.58,76.18,2021.03.22 15:34:10
NOK,75.65,73.31,76.25,76.62,76.18,2021.03.22 15:29:38
NOK,75.62,73.28,76.22,76.59,76.18,2021.03.22 15:22:10
NOK,75.64,73.3,76.24,76.61,76.18,2021.03.22 15:18:49
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 15:17:59
NOK,75.62,73.28,76.22,76.59,76.18,2021.03.22 15:10:12
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 15:09:57
NOK,75.64,73.3,76.24,76.61,76.18,2021.03.22 15:09:17
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 15:04:46
NOK,75.69,73.35,76.29,76.66,76.18,2021.03.22 15:02:58
NOK,75.72,73.38,76.32,76.69,76.18,2021.03.22 14:58:29
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 14:52:34
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 14:48:27
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 14:47:43
NOK,75.76,73.42,76.36,76.73,76.18,2021.03.22 14:43:47
NOK,75.81,73.47,76.41,76.78,76.18,2021.03.22 14:39:26
NOK,75.77,73.43,76.37,76.74,76.18,2021.03.22 14:36:48
NOK,75.77,73.43,76.37,76.74,76.18,2021.03.22 14:32:25
NOK,75.8,73.46,76.4,76.77,76.18,2021.03.22 14:29:33
NOK,75.78,73.44,76.38,76.75,76.18,2021.03.22 14:28:36
NOK,75.73,73.39,76.33,76.7,76.18,2021.03.22 14:23:26
NOK,75.84,73.49,76.44,76.81,76.18,2021.03.22 14:22:29
NOK,75.76,73.42,76.36,76.73,76.18,2021.03.22 14:15:29
NOK,75.81,73.47,76.41,76.78,76.18,2021.03.22 14:14:40
NOK,75.81,73.47,76.41,76.78,76.18,2021.03.22 14:14:24
NOK,75.81,73.47,76.41,76.78,76.18,2021.03.22 14:01:44
NOK,75.82,73.47,76.42,76.79,76.18,2021.03.22 13:58:32
NOK,75.83,73.48,76.43,76.8,76.18,2021.03.22 13:56:45
NOK,75.84,73.49,76.44,76.81,76.18,2021.03.22 13:50:38
NOK,75.83,73.48,76.43,76.8,76.18,2021.03.22 13:47:04
NOK,75.84,73.49,76.44,76.81,76.18,2021.03.22 13:45:41
NOK,75.84,73.49,76.44,76.81,76.18,2021.03.22 13:43:10
NOK,75.83,73.48,76.43,76.8,76.18,2021.03.22 13:38:19
NOK,75.81,73.47,76.41,76.78,76.18,2021.03.22 13:32:59
NOK,75.84,73.49,76.44,76.81,76.18,2021.03.22 12:22:50
NOK,75.81,73.47,76.41,76.78,76.18,2021.03.22 11:58:39
NOK,75.8,73.46,76.4,76.77,76.18,2021.03.22 11:51:35
NOK,75.8,73.46,76.4,76.77,76.18,2021.03.22 11:42:16
NOK,75.8,73.46,76.4,76.77,76.18,2021.03.22 11:41:43
NOK,75.8,73.46,76.4,76.77,76.18,2021.03.22 11:32:56
NOK,75.8,73.46,76.4,76.77,76.18,2021.03.22 11:27:48
NOK,75.82,73.47,76.42,76.79,76.18,2021.03.22 11:22:48
NOK,75.81,73.47,76.41,76.78,76.18,2021.03.22 11:18:17
NOK,75.78,73.44,76.38,76.75,76.18,2021.03.22 11:09:19
NOK,75.78,73.44,76.38,76.75,76.18,2021.03.22 11:04:25
NOK,75.78,73.44,76.38,76.75,76.18,2021.03.22 11:03:05
NOK,75.79,73.45,76.39,76.76,76.18,2021.03.22 11:01:22
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 10:50:25
NOK,75.75,73.41,76.35,76.72,76.18,2021.03.22 10:46:07
NOK,75.75,73.41,76.35,76.72,76.18,2021.03.22 10:45:15
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 10:43:50
NOK,75.77,73.43,76.37,76.74,76.18,2021.03.22 10:41:22
NOK,75.77,73.43,76.37,76.74,76.18,2021.03.22 10:40:22
NOK,75.78,73.44,76.38,76.75,76.18,2021.03.22 10:38:49
NOK,75.78,73.44,76.38,76.75,76.18,2021.03.22 10:31:08
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 10:30:00
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 10:30:00
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 10:30:00
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 10:26:50
NOK,75.76,73.42,76.36,76.73,76.18,2021.03.22 10:25:29
NOK,75.77,73.43,76.37,76.74,76.18,2021.03.22 10:24:50
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 10:24:01
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 10:23:27
NOK,75.75,73.41,76.35,76.72,76.18,2021.03.22 10:21:22
NOK,75.74,73.4,76.34,76.71,76.18,2021.03.22 10:21:14
NOK,75.73,73.39,76.33,76.7,76.18,2021.03.22 10:19:16
NOK,75.71,73.37,76.31,76.68,76.18,2021.03.22 10:15:45
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 10:11:18
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 10:11:18
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 10:10:28
NOK,75.69,73.35,76.29,76.66,76.18,2021.03.22 10:10:21
NOK,75.69,73.35,76.29,76.66,76.18,2021.03.22 10:10:21
NOK,75.69,73.35,76.29,76.66,76.18,2021.03.22 10:09:41
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 10:09:26
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 10:07:17
NOK,75.71,73.37,76.31,76.68,76.18,2021.03.22 10:03:59
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 09:55:31
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 09:54:40
NOK,75.69,73.35,76.29,76.66,76.18,2021.03.22 09:53:10
NOK,75.72,73.38,76.32,76.69,76.18,2021.03.22 09:52:18
NOK,75.68,73.34,76.28,76.65,76.18,2021.03.22 09:51:36
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 09:50:02
NOK,75.7,73.36,76.3,76.67,76.18,2021.03.22 09:49:19
NOK,75.69,73.35,76.29,76.66,76.18,2021.03.22 09:47:13
NOK,75.68,73.34,76.28,76.65,76.18,2021.03.22 09:45:14
NOK,75.62,73.28,76.22,76.59,76.18,2021.03.22 09:39:32
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 09:39:07
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 09:38:08
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 09:36:43
NOK,75.62,73.28,76.22,76.59,76.18,2021.03.22 09:35:32
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 09:34:27
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 09:34:11
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 09:33:19
NOK,75.61,73.27,76.21,76.58,76.18,2021.03.22 09:32:31
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 09:32:02
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 09:26:34
NOK,75.63,73.29,76.23,76.6,76.18,2021.03.22 09:25:31
NOK,75.68,73.34,76.28,76.65,76.18,2021.03.22 09:16:57
