Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
NZD,460.32,446.12,463.56,469.93,463.34,2021.03.23 11:26:40
NZD,460.16,445.96,463.4,469.77,463.34,2021.03.23 11:23:34
NZD,460.26,446.06,463.5,469.87,463.34,2021.03.23 11:21:51
NZD,460.26,446.06,463.5,469.87,463.34,2021.03.23 10:58:54
NZD,460.17,445.97,463.41,469.78,463.34,2021.03.23 10:55:37
NZD,460.13,445.94,463.37,469.74,463.34,2021.03.23 10:50:15
NZD,459.91,445.72,463.15,469.51,463.34,2021.03.23 10:48:37
NZD,460.98,446.76,464.22,470.6,463.34,2021.03.23 10:37:55
NZD,461.02,446.79,464.26,470.64,463.34,2021.03.23 10:37:07
NZD,461.12,446.89,464.36,470.75,463.34,2021.03.23 10:35:32
NZD,461.12,446.89,464.36,470.75,463.34,2021.03.23 10:34:12
NZD,461.12,446.89,464.36,470.75,463.34,2021.03.23 10:32:08
NZD,461.15,446.92,464.39,470.78,463.34,2021.03.23 10:30:00
NZD,461.15,446.92,464.39,470.78,463.34,2021.03.23 10:30:00
NZD,461.15,446.92,464.39,470.78,463.34,2021.03.23 10:28:46
NZD,461.15,446.92,464.39,470.78,463.34,2021.03.23 10:28:46
NZD,461.45,447.21,464.69,471.08,463.34,2021.03.23 10:18:59
NZD,461.54,447.3,464.78,471.17,463.34,2021.03.23 10:18:14
NZD,461.38,447.14,464.62,471.01,463.34,2021.03.23 10:11:24
NZD,461.38,447.14,464.62,471.01,463.34,2021.03.23 10:11:24
NZD,461.38,447.14,464.62,471.01,463.34,2021.03.23 10:10:01
NZD,461.38,447.14,464.62,471.01,463.34,2021.03.23 10:10:01
NZD,461.38,447.14,464.62,471.01,463.34,2021.03.23 10:08:52
NZD,461.34,447.1,464.58,470.97,463.34,2021.03.23 10:08:00
NZD,461.34,447.1,464.58,470.97,463.34,2021.03.23 10:00:40
NZD,461.2,446.97,464.44,470.83,463.34,2021.03.23 09:56:55
NZD,461.04,446.81,464.28,470.66,463.34,2021.03.23 09:52:55
NZD,461.23,447,464.47,470.86,463.34,2021.03.23 09:47:07
NZD,461.26,447.03,464.5,470.89,463.34,2021.03.23 09:46:07
NZD,461.16,446.93,464.4,470.79,463.34,2021.03.23 09:42:47
NZD,461.06,446.83,464.3,470.68,463.34,2021.03.23 09:39:42
NZD,461.1,446.87,464.34,470.73,463.34,2021.03.23 09:36:38
NZD,460.94,446.72,464.18,470.56,463.34,2021.03.23 09:34:57
NZD,461,446.78,464.24,470.62,463.34,2021.03.23 09:33:23
NZD,460.89,446.67,464.13,470.51,463.34,2021.03.23 09:32:41
NZD,460.92,446.7,464.16,470.54,463.34,2021.03.23 09:32:14
NZD,460.89,446.67,464.13,470.51,463.34,2021.03.23 09:30:39
NZD,461.06,446.83,464.3,470.68,463.34,2021.03.23 09:17:59
NZD,461.06,446.83,464.3,470.68,463.34,2021.03.23 09:17:55
NZD,461.71,447.46,464.95,471.35,466.64,2021.03.23 08:26:38
NZD,462.17,447.91,465.41,471.81,466.64,2021.03.23 07:53:00
NZD,462.43,448.16,465.67,472.08,466.64,2021.03.23 07:41:55
NZD,462.17,447.91,465.41,471.81,466.64,2021.03.23 07:31:18
NZD,462.17,447.91,465.41,471.81,466.64,2021.03.23 07:29:15
NZD,462.88,448.6,466.14,472.55,466.64,2021.03.23 06:55:13
NZD,465.53,451.17,468.81,475.25,466.64,2021.03.23 05:30:00
NZD,465.53,451.17,468.81,475.25,466.64,2021.03.23 05:30:00
NZD,465.53,451.17,468.81,475.25,466.64,2021.03.23 05:30:00
NZD,465.53,451.17,468.81,475.25,466.64,2021.03.23 00:00:05
NZD,465.53,451.17,468.81,475.25,466.64,2021.03.22 23:36:58
NZD,465.53,451.17,468.81,475.25,466.64,2021.03.23 00:00:05
NZD,465.53,451.17,468.81,475.25,466.64,2021.03.22 23:36:58
NZD,464.96,450.61,468.22,474.66,466.64,2021.03.22 23:16:00
NZD,465.05,450.7,468.31,474.75,466.64,2021.03.22 23:14:52
NZD,465.25,450.89,468.51,474.96,466.64,2021.03.22 22:48:04
NZD,464.8,450.45,468.06,474.5,466.64,2021.03.22 22:40:50
NZD,464.93,450.58,468.19,474.63,466.64,2021.03.22 22:31:26
NZD,464.8,450.45,468.06,474.5,466.64,2021.03.22 22:15:09
