Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 11:26:40
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 11:23:34
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 11:21:51
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:58:54
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:55:37
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:50:15
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:48:37
RUB,8.65,8.12,8.71,9.04,8.69,2021.03.23 10:37:55
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:37:07
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:35:32
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:34:12
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:32:08
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:30:00
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:30:00
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:28:46
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:28:46
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:18:59
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:18:14
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:11:24
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:11:24
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:10:01
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:10:01
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:08:52
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:08:00
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 10:00:40
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 09:56:55
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 09:52:55
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 09:47:07
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 09:46:07
RUB,8.65,8.12,8.71,9.04,8.69,2021.03.23 09:42:47
RUB,8.65,8.12,8.71,9.04,8.69,2021.03.23 09:39:42
RUB,8.65,8.12,8.71,9.04,8.69,2021.03.23 09:36:38
RUB,8.66,8.13,8.72,9.05,8.69,2021.03.23 09:34:57
RUB,8.65,8.12,8.71,9.04,8.69,2021.03.23 09:33:23
RUB,8.65,8.12,8.71,9.04,8.69,2021.03.23 09:32:41
