Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
SAR,,168.73,,178.37,173.43,2021.03.23 11:26:40
SAR,,168.72,,178.36,173.43,2021.03.23 11:23:34
SAR,,168.73,,178.37,173.43,2021.03.23 11:21:51
SAR,,168.73,,178.37,173.43,2021.03.23 10:58:54
SAR,,168.74,,178.38,173.43,2021.03.23 10:55:37
SAR,,168.73,,178.37,173.43,2021.03.23 10:50:15
SAR,,168.74,,178.38,173.43,2021.03.23 10:48:37
SAR,,168.73,,178.37,173.43,2021.03.23 10:37:55
SAR,,168.74,,178.38,173.43,2021.03.23 10:37:07
SAR,,168.75,,178.41,173.43,2021.03.23 10:35:32
SAR,,168.75,,178.41,173.43,2021.03.23 10:34:12
SAR,,168.75,,178.41,173.43,2021.03.23 10:32:08
SAR,,168.76,,178.42,173.43,2021.03.23 10:30:00
SAR,,168.76,,178.42,173.43,2021.03.23 10:30:00
SAR,,168.76,,178.42,173.43,2021.03.23 10:28:46
SAR,,168.76,,178.42,173.43,2021.03.23 10:28:46
SAR,,168.77,,178.43,173.43,2021.03.23 10:18:59
SAR,,168.76,,178.42,173.43,2021.03.23 10:18:14
SAR,,168.75,,178.41,173.43,2021.03.23 10:11:24
SAR,,168.75,,178.41,173.43,2021.03.23 10:11:24
SAR,,168.75,,178.41,173.43,2021.03.23 10:10:01
SAR,,168.75,,178.41,173.43,2021.03.23 10:10:01
SAR,,168.75,,178.41,173.43,2021.03.23 10:08:52
SAR,,168.74,,178.38,173.43,2021.03.23 10:08:00
SAR,,168.72,,178.36,173.43,2021.03.23 10:00:40
SAR,,168.69,,178.33,173.43,2021.03.23 09:56:55
SAR,,168.7,,178.34,173.43,2021.03.23 09:52:55
SAR,,168.68,,178.32,173.43,2021.03.23 09:47:07
SAR,,168.69,,178.33,173.43,2021.03.23 09:46:07
SAR,,168.68,,178.32,173.43,2021.03.23 09:42:47
SAR,,168.66,,178.3,173.43,2021.03.23 09:39:42
SAR,,168.68,,178.32,173.43,2021.03.23 09:36:38
SAR,,168.69,,178.33,173.43,2021.03.23 09:34:57
SAR,,168.66,,178.3,173.43,2021.03.23 09:33:23
SAR,,168.62,,178.26,173.43,2021.03.23 09:32:41
SAR,,168.61,,178.25,173.43,2021.03.23 09:32:14
SAR,,168.6,,178.24,173.43,2021.03.23 09:30:39
SAR,,168.66,,178.3,173.43,2021.03.23 09:17:59
SAR,,168.66,,178.3,173.43,2021.03.23 09:17:55
SAR,,168.66,,178.3,173.81,2021.03.23 08:26:38
SAR,,168.66,,178.3,173.81,2021.03.23 07:53:00
SAR,,168.66,,178.3,173.81,2021.03.23 07:41:55
SAR,,168.69,,178.33,173.81,2021.03.23 07:31:18
SAR,,168.69,,178.33,173.81,2021.03.23 07:29:15
SAR,,168.68,,178.32,173.81,2021.03.23 06:55:13
SAR,,168.68,,178.32,173.81,2021.03.23 05:30:00
SAR,,168.68,,178.32,173.81,2021.03.23 05:30:00
SAR,,168.68,,178.32,173.81,2021.03.23 05:30:00
