Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
SGD,483.61,468.69,487.01,489.44,485.27,2021.03.23 11:23:34
SGD,483.69,468.77,487.09,489.52,485.27,2021.03.23 11:21:51
SGD,483.58,468.66,486.98,489.4,485.27,2021.03.23 10:58:54
SGD,483.58,468.66,486.98,489.4,485.27,2021.03.23 10:55:37
SGD,483.51,468.59,486.91,489.33,485.27,2021.03.23 10:50:15
SGD,483.51,468.59,486.91,489.33,485.27,2021.03.23 10:48:37
SGD,483.61,468.69,487.01,489.44,485.27,2021.03.23 10:37:55
SGD,483.61,468.69,487.01,489.44,485.27,2021.03.23 10:37:07
SGD,483.72,468.79,487.12,489.55,485.27,2021.03.23 10:35:32
SGD,483.72,468.79,487.12,489.55,485.27,2021.03.23 10:34:12
SGD,483.72,468.79,487.12,489.55,485.27,2021.03.23 10:32:08
SGD,483.69,468.77,487.09,489.52,485.27,2021.03.23 10:30:00
SGD,483.69,468.77,487.09,489.52,485.27,2021.03.23 10:30:00
SGD,483.69,468.77,487.09,489.52,485.27,2021.03.23 10:28:46
SGD,483.69,468.77,487.09,489.52,485.27,2021.03.23 10:28:46
SGD,483.8,468.87,487.2,489.63,485.27,2021.03.23 10:18:59
SGD,483.83,468.9,487.23,489.66,485.27,2021.03.23 10:18:14
SGD,483.91,468.98,487.31,489.74,485.27,2021.03.23 10:11:24
SGD,483.91,468.98,487.31,489.74,485.27,2021.03.23 10:11:24
SGD,483.91,468.98,487.31,489.74,485.27,2021.03.23 10:10:01
SGD,483.91,468.98,487.31,489.74,485.27,2021.03.23 10:10:01
SGD,483.91,468.98,487.31,489.74,485.27,2021.03.23 10:08:52
SGD,483.9,468.97,487.3,489.73,485.27,2021.03.23 10:08:00
SGD,483.79,468.86,487.19,489.62,485.27,2021.03.23 10:00:40
SGD,483.61,468.69,487.01,489.44,485.27,2021.03.23 09:56:55
SGD,483.5,468.58,486.9,489.32,485.27,2021.03.23 09:52:55
