Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
THB,20.93,20.28,21.09,21.76,21.06,2021.03.23 11:23:34
THB,20.92,20.27,21.08,21.75,21.06,2021.03.23 11:21:51
THB,20.93,20.28,21.09,21.76,21.06,2021.03.23 10:58:54
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:55:37
THB,20.92,20.27,21.08,21.75,21.06,2021.03.23 10:50:15
THB,20.92,20.27,21.08,21.75,21.06,2021.03.23 10:48:37
THB,20.92,20.27,21.08,21.75,21.06,2021.03.23 10:37:55
THB,20.92,20.27,21.08,21.75,21.06,2021.03.23 10:37:07
THB,20.92,20.27,21.08,21.75,21.06,2021.03.23 10:35:32
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:34:12
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:32:08
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:30:00
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:30:00
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:28:46
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:28:46
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:18:59
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:18:14
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:11:24
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:11:24
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:10:01
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:10:01
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:08:52
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 10:08:00
THB,20.93,20.28,21.09,21.76,21.06,2021.03.23 10:00:40
THB,20.93,20.28,21.09,21.76,21.06,2021.03.23 09:56:55
THB,20.93,20.28,21.09,21.76,21.06,2021.03.23 09:52:55
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 09:47:07
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 09:46:07
THB,20.94,20.29,21.1,21.77,21.06,2021.03.23 09:42:47
THB,20.95,20.3,21.11,21.78,21.06,2021.03.23 09:39:42
THB,20.95,20.3,21.11,21.78,21.06,2021.03.23 09:36:38
THB,20.96,20.31,21.12,21.79,21.06,2021.03.23 09:34:57
THB,20.95,20.3,21.11,21.78,21.06,2021.03.23 09:33:23
THB,20.96,20.31,21.12,21.79,21.06,2021.03.23 09:32:41
THB,20.96,20.31,21.12,21.79,21.06,2021.03.23 09:32:14
THB,20.96,20.31,21.12,21.79,21.06,2021.03.23 09:30:39
THB,20.97,20.32,21.13,21.8,21.06,2021.03.23 09:17:59
THB,20.97,20.32,21.13,21.8,21.06,2021.03.23 09:17:55
THB,20.98,20.33,21.14,21.81,21.13,2021.03.23 08:26:38
THB,20.99,20.34,21.15,21.82,21.13,2021.03.23 07:53:00
THB,20.99,20.34,21.15,21.82,21.13,2021.03.23 07:41:55
THB,20.99,20.34,21.15,21.82,21.13,2021.03.23 07:31:18
THB,20.99,20.34,21.15,21.82,21.13,2021.03.23 07:29:15
THB,20.99,20.34,21.15,21.82,21.13,2021.03.23 06:55:13
THB,21.01,20.36,21.17,21.85,21.13,2021.03.23 05:30:00
THB,21.01,20.36,21.17,21.85,21.13,2021.03.23 05:30:00
THB,21.01,20.36,21.17,21.85,21.13,2021.03.23 05:30:00
THB,21.01,20.36,21.17,21.85,21.13,2021.03.23 00:00:05
THB,21.01,20.36,21.17,21.85,21.13,2021.03.22 23:36:58
THB,21.01,20.36,21.17,21.85,21.13,2021.03.23 00:00:05
THB,21.01,20.36,21.17,21.85,21.13,2021.03.22 23:36:58
THB,21,20.35,21.16,21.83,21.13,2021.03.22 23:16:00
THB,21,20.35,21.16,21.83,21.13,2021.03.22 23:14:52
THB,21,20.35,21.16,21.83,21.13,2021.03.22 22:48:04
THB,21,20.35,21.16,21.83,21.13,2021.03.22 22:40:50
THB,21,20.35,21.16,21.83,21.13,2021.03.22 22:31:26
THB,21,20.35,21.16,21.83,21.13,2021.03.22 22:15:09
THB,21,20.35,21.16,21.83,21.13,2021.03.22 22:05:12
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 21:47:07
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 21:43:44
THB,21,20.35,21.16,21.83,21.13,2021.03.22 21:25:26
THB,20.99,20.34,21.15,21.82,21.13,2021.03.22 20:20:46
THB,20.99,20.34,21.15,21.82,21.13,2021.03.22 19:37:37
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 19:29:15
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 19:23:26
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 19:13:25
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 19:10:08
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 19:09:13
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 19:07:22
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 19:04:07
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 19:00:40
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 18:58:15
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 18:54:52
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 18:53:22
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 18:50:27
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 18:48:38
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 18:45:38
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 18:36:10
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 18:15:09
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 18:14:39
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 18:14:29
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 17:55:13
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 17:17:53
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 17:07:50
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 17:00:09
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 16:52:39
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 16:47:59
THB,20.95,20.3,21.11,21.78,21.13,2021.03.22 16:45:59
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 16:41:45
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 16:39:51
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 16:33:05
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 16:31:51
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 16:29:06
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 16:26:23
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 16:22:16
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 16:17:21
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 16:12:16
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 16:11:31
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 16:07:11
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 16:05:28
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 16:03:53
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 16:01:40
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 15:58:32
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 15:56:53
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 15:55:55
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 15:54:42
THB,20.96,20.31,21.12,21.79,21.13,2021.03.22 15:48:42
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:45:06
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:41:11
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:39:29
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:38:29
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:34:10
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:29:38
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:22:10
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:18:49
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:17:59
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:10:12
THB,20.97,20.32,21.13,21.8,21.13,2021.03.22 15:09:57
THB,20.98,20.33,21.14,21.81,21.13,2021.03.22 15:09:17
