Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
TRY,82.54,78.49,83.2,95.53,83.02,2021.03.23 11:26:40
TRY,82.54,78.49,83.2,95.53,83.02,2021.03.23 11:23:34
TRY,82.51,78.47,83.17,95.5,83.02,2021.03.23 11:21:51
TRY,82.81,78.75,83.47,95.84,83.02,2021.03.23 10:58:54
TRY,82.73,78.67,83.39,95.75,83.02,2021.03.23 10:55:37
TRY,82.72,78.66,83.38,95.74,83.02,2021.03.23 10:50:15
TRY,82.73,78.67,83.39,95.75,83.02,2021.03.23 10:48:37
TRY,82.71,78.66,83.37,95.73,83.02,2021.03.23 10:37:55
TRY,82.74,78.68,83.4,95.76,83.02,2021.03.23 10:37:07
TRY,82.68,78.63,83.34,95.69,83.02,2021.03.23 10:35:32
TRY,82.83,78.77,83.49,95.87,83.02,2021.03.23 10:34:12
TRY,82.83,78.77,83.49,95.87,83.02,2021.03.23 10:32:08
TRY,82.83,78.77,83.49,95.87,83.02,2021.03.23 10:30:00
TRY,82.83,78.77,83.49,95.87,83.02,2021.03.23 10:30:00
TRY,82.83,78.77,83.49,95.87,83.02,2021.03.23 10:28:46
TRY,82.83,78.77,83.49,95.87,83.02,2021.03.23 10:28:46
TRY,82.84,78.78,83.5,95.88,83.02,2021.03.23 10:18:59
TRY,82.84,78.78,83.5,95.88,83.02,2021.03.23 10:18:14
TRY,82.84,78.78,83.5,95.88,83.02,2021.03.23 10:11:24
TRY,82.84,78.78,83.5,95.88,83.02,2021.03.23 10:11:24
TRY,82.84,78.78,83.5,95.88,83.02,2021.03.23 10:10:01
TRY,82.84,78.78,83.5,95.88,83.02,2021.03.23 10:10:01
TRY,82.84,78.78,83.5,95.88,83.02,2021.03.23 10:08:52
TRY,82.82,78.76,83.48,95.86,83.02,2021.03.23 10:08:00
TRY,82.81,78.75,83.47,95.84,83.02,2021.03.23 10:00:40
TRY,82.79,78.73,83.45,95.82,83.02,2021.03.23 09:56:55
TRY,82.8,78.74,83.46,95.83,83.02,2021.03.23 09:52:55
TRY,82.74,78.68,83.4,95.76,83.02,2021.03.23 09:47:07
TRY,82.73,78.67,83.39,95.75,83.02,2021.03.23 09:46:07
TRY,82.72,78.66,83.38,95.74,83.02,2021.03.23 09:42:47
TRY,82.72,78.66,83.38,95.74,83.02,2021.03.23 09:39:42
TRY,82.74,78.68,83.4,95.76,83.02,2021.03.23 09:36:38
TRY,82.74,78.68,83.4,95.76,83.02,2021.03.23 09:34:57
TRY,82.74,78.68,83.4,95.76,83.02,2021.03.23 09:33:23
TRY,82.72,78.66,83.38,95.74,83.02,2021.03.23 09:32:41
TRY,82.7,78.65,83.36,95.72,83.02,2021.03.23 09:32:14
TRY,82.73,78.67,83.39,95.75,83.02,2021.03.23 09:30:39
TRY,82.69,78.64,83.35,95.71,83.02,2021.03.23 09:17:59
TRY,82.69,78.64,83.35,95.71,83.02,2021.03.23 09:17:55
TRY,82.7,78.65,83.36,95.72,80.1,2021.03.23 08:26:38
TRY,82.79,78.73,83.45,95.82,80.1,2021.03.23 07:53:00
TRY,82.78,78.72,83.44,95.81,80.1,2021.03.23 07:41:55
TRY,82.69,78.64,83.35,95.71,80.1,2021.03.23 07:31:18
TRY,82.65,78.6,83.31,95.66,80.1,2021.03.23 07:29:15
TRY,82.19,78.16,82.85,95.13,80.1,2021.03.23 06:55:13
TRY,82.19,78.16,82.85,95.13,80.1,2021.03.23 05:30:00
TRY,82.19,78.16,82.85,95.13,80.1,2021.03.23 05:30:00
TRY,82.19,78.16,82.85,95.13,80.1,2021.03.23 05:30:00
TRY,82.19,78.16,82.85,95.13,80.1,2021.03.23 00:00:05
TRY,82.19,78.16,82.85,95.13,80.1,2021.03.22 23:36:58
TRY,82.19,78.16,82.85,95.13,80.1,2021.03.23 00:00:05
TRY,82.19,78.16,82.85,95.13,80.1,2021.03.22 23:36:58
TRY,81.61,77.61,82.27,94.46,80.1,2021.03.22 23:16:00
TRY,81.62,77.62,82.28,94.47,80.1,2021.03.22 23:14:52
TRY,82.11,78.09,82.77,95.04,80.1,2021.03.22 22:48:04
TRY,81.66,77.66,82.32,94.52,80.1,2021.03.22 22:40:50
TRY,81.47,77.48,82.13,94.3,80.1,2021.03.22 22:31:26
TRY,82.24,78.21,82.9,95.19,80.1,2021.03.22 22:15:09
TRY,82.38,78.34,83.04,95.35,80.1,2021.03.22 22:05:12
TRY,82.23,78.2,82.89,95.18,80.1,2021.03.22 21:47:07
TRY,82.48,78.44,83.14,95.46,80.1,2021.03.22 21:43:44
TRY,82.28,78.25,82.94,95.23,80.1,2021.03.22 21:25:26
TRY,81.85,77.84,82.51,94.74,80.1,2021.03.22 20:20:46
TRY,82.12,78.1,82.78,95.05,80.1,2021.03.22 19:37:37
TRY,81.75,77.75,82.41,94.62,80.1,2021.03.22 19:29:15
TRY,81.59,77.59,82.25,94.44,80.1,2021.03.22 19:23:26
TRY,81.89,77.88,82.55,94.78,80.1,2021.03.22 19:13:25
TRY,81.85,77.84,82.51,94.74,80.1,2021.03.22 19:10:08
TRY,81.83,77.82,82.49,94.71,80.1,2021.03.22 19:09:13
TRY,81.7,77.7,82.36,94.56,80.1,2021.03.22 19:07:22
TRY,81.68,77.68,82.34,94.54,80.1,2021.03.22 19:04:07
TRY,81.68,77.68,82.34,94.54,80.1,2021.03.22 19:00:40
TRY,81.51,77.52,82.17,94.35,80.1,2021.03.22 18:58:15
TRY,81.48,77.49,82.14,94.31,80.1,2021.03.22 18:54:52
TRY,81.5,77.51,82.16,94.33,80.1,2021.03.22 18:53:22
TRY,81.33,77.35,81.99,94.14,80.1,2021.03.22 18:50:27
TRY,81.24,77.26,81.9,94.03,80.1,2021.03.22 18:48:38
TRY,81.46,77.47,82.12,94.29,80.1,2021.03.22 18:45:38
TRY,82.1,78.08,82.76,95.03,80.1,2021.03.22 18:36:10
TRY,82.44,78.4,83.1,95.42,80.1,2021.03.22 18:15:09
TRY,82.51,78.47,83.17,95.5,80.1,2021.03.22 18:14:39
TRY,82.51,78.47,83.17,95.5,80.1,2021.03.22 18:14:29
TRY,81.9,77.89,82.56,94.79,80.1,2021.03.22 17:55:13
TRY,81.54,77.55,82.2,94.38,80.1,2021.03.22 17:17:53
TRY,81.21,77.23,81.87,94,80.1,2021.03.22 17:07:50
