Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
TWD,,22.1,,23.95,,2021.03.23 11:26:40
TWD,,22.1,,23.95,,2021.03.23 11:23:34
TWD,,22.1,,23.95,,2021.03.23 11:21:51
TWD,,22.08,,23.92,,2021.03.23 10:58:54
TWD,,22.08,,23.92,,2021.03.23 10:55:37
TWD,,22.08,,23.92,,2021.03.23 10:50:15
TWD,,22.08,,23.92,,2021.03.23 10:48:37
TWD,,22.08,,23.93,,2021.03.23 10:37:55
TWD,,22.09,,23.94,,2021.03.23 10:37:07
TWD,,22.08,,23.93,,2021.03.23 10:35:32
TWD,,22.08,,23.93,,2021.03.23 10:34:12
TWD,,22.08,,23.93,,2021.03.23 10:32:08
TWD,,22.09,,23.94,,2021.03.23 10:30:00
TWD,,22.09,,23.94,,2021.03.23 10:30:00
TWD,,22.09,,23.94,,2021.03.23 10:28:46
TWD,,22.09,,23.94,,2021.03.23 10:28:46
TWD,,22.09,,23.94,,2021.03.23 10:18:59
TWD,,22.08,,23.93,,2021.03.23 10:18:14
TWD,,22.09,,23.94,,2021.03.23 10:11:24
TWD,,22.09,,23.94,,2021.03.23 10:11:24
TWD,,22.09,,23.94,,2021.03.23 10:10:01
TWD,,22.09,,23.94,,2021.03.23 10:10:01
TWD,,22.09,,23.94,,2021.03.23 10:08:52
TWD,,22.08,,23.93,,2021.03.23 10:08:00
TWD,,22.08,,23.93,,2021.03.23 10:00:40
TWD,,22.08,,23.92,,2021.03.23 09:56:55
TWD,,22.08,,23.93,,2021.03.23 09:52:55
TWD,,22.08,,23.93,,2021.03.23 09:47:07
TWD,,22.09,,23.94,,2021.03.23 09:46:07
TWD,,22.09,,23.94,,2021.03.23 09:42:47
TWD,,22.08,,23.93,,2021.03.23 09:39:42
TWD,,22.08,,23.93,,2021.03.23 09:36:38
TWD,,22.08,,23.93,,2021.03.23 09:34:57
TWD,,22.08,,23.93,,2021.03.23 09:33:23
TWD,,22.08,,23.92,,2021.03.23 09:32:41
TWD,,22.08,,23.92,,2021.03.23 09:32:14
TWD,,22.08,,23.92,,2021.03.23 09:30:39
TWD,,22.09,,23.94,,2021.03.23 09:17:59
TWD,,22.09,,23.94,,2021.03.23 09:17:55
TWD,,22.12,,23.97,,2021.03.23 08:26:38
TWD,,22.17,,24.02,,2021.03.23 07:53:00
TWD,,22.19,,24.04,,2021.03.23 07:41:55
TWD,,22.19,,24.04,,2021.03.23 07:31:18
TWD,,22.17,,24.02,,2021.03.23 07:29:15
TWD,,22.15,,24,,2021.03.23 06:55:13
TWD,,22.11,,23.96,,2021.03.23 05:30:00
TWD,,22.11,,23.96,,2021.03.23 05:30:00
TWD,,22.11,,23.96,,2021.03.23 05:30:00
TWD,,22.11,,23.96,,2021.03.23 00:00:05
TWD,,22.11,,23.96,,2021.03.22 23:36:58
TWD,,22.11,,23.96,,2021.03.23 00:00:05
TWD,,22.11,,23.96,,2021.03.22 23:36:58
TWD,,22.11,,23.96,,2021.03.22 23:16:00
TWD,,22.11,,23.96,,2021.03.22 23:14:52
TWD,,22.1,,23.95,,2021.03.22 22:48:04
TWD,,22.1,,23.95,,2021.03.22 22:40:50
TWD,,22.1,,23.95,,2021.03.22 22:31:26
TWD,,22.11,,23.96,,2021.03.22 22:15:09
TWD,,22.1,,23.95,,2021.03.22 22:05:12
TWD,,22.08,,23.93,,2021.03.22 21:47:07
TWD,,22.08,,23.93,,2021.03.22 21:43:44
TWD,,22.1,,23.95,,2021.03.22 21:25:26
TWD,,22.09,,23.94,,2021.03.22 20:20:46
TWD,,22.09,,23.94,,2021.03.22 19:37:37
TWD,,22.09,,23.94,,2021.03.22 19:29:15
TWD,,22.09,,23.94,,2021.03.22 19:23:26
TWD,,22.09,,23.94,,2021.03.22 19:13:25
TWD,,22.08,,23.93,,2021.03.22 19:10:08
TWD,,22.08,,23.93,,2021.03.22 19:09:13
TWD,,22.09,,23.94,,2021.03.22 19:07:22
TWD,,22.08,,23.93,,2021.03.22 19:04:07
TWD,,22.08,,23.93,,2021.03.22 19:00:40
TWD,,22.08,,23.93,,2021.03.22 18:58:15
TWD,,22.08,,23.93,,2021.03.22 18:54:52
TWD,,22.08,,23.93,,2021.03.22 18:53:22
TWD,,22.08,,23.93,,2021.03.22 18:50:27
TWD,,22.08,,23.93,,2021.03.22 18:48:38
TWD,,22.08,,23.93,,2021.03.22 18:45:38
TWD,,22.08,,23.93,,2021.03.22 18:36:10
TWD,,22.08,,23.93,,2021.03.22 18:15:09
TWD,,22.09,,23.94,,2021.03.22 18:14:39
TWD,,22.09,,23.94,,2021.03.22 18:14:29
TWD,,22.09,,23.94,,2021.03.22 17:55:13
TWD,,22.11,,23.96,,2021.03.22 17:17:53
TWD,,22.11,,23.96,,2021.03.22 17:07:50
TWD,,22.11,,23.96,,2021.03.22 17:00:09
TWD,,22.1,,23.95,,2021.03.22 16:52:39
TWD,,22.1,,23.95,,2021.03.22 16:47:59
TWD,,22.1,,23.95,,2021.03.22 16:45:59
TWD,,22.11,,23.96,,2021.03.22 16:41:45
TWD,,22.11,,23.96,,2021.03.22 16:39:51
TWD,,22.11,,23.96,,2021.03.22 16:33:05
TWD,,22.11,,23.96,,2021.03.22 16:31:51
TWD,,22.12,,23.97,,2021.03.22 16:29:06
TWD,,22.12,,23.97,,2021.03.22 16:26:23
TWD,,22.11,,23.96,,2021.03.22 16:22:16
TWD,,22.09,,23.94,,2021.03.22 16:17:21
TWD,,22.09,,23.94,,2021.03.22 16:12:16
TWD,,22.09,,23.94,,2021.03.22 16:11:31
TWD,,22.09,,23.94,,2021.03.22 16:07:11
TWD,,22.1,,23.95,,2021.03.22 16:05:28
TWD,,22.1,,23.95,,2021.03.22 16:03:53
TWD,,22.09,,23.94,,2021.03.22 16:01:40
TWD,,22.1,,23.95,,2021.03.22 15:58:32
TWD,,22.09,,23.94,,2021.03.22 15:56:53
TWD,,22.09,,23.94,,2021.03.22 15:55:55
TWD,,22.09,,23.94,,2021.03.22 15:54:42
TWD,,22.09,,23.94,,2021.03.22 15:48:42
TWD,,22.09,,23.94,,2021.03.22 15:45:06
TWD,,22.09,,23.94,,2021.03.22 15:41:11
TWD,,22.09,,23.94,,2021.03.22 15:39:29
TWD,,22.09,,23.94,,2021.03.22 15:38:29
TWD,,22.09,,23.94,,2021.03.22 15:34:10
TWD,,22.09,,23.94,,2021.03.22 15:29:38
TWD,,22.09,,23.94,,2021.03.22 15:22:10
TWD,,22.09,,23.94,,2021.03.22 15:18:49
TWD,,22.08,,23.93,,2021.03.22 15:17:59
TWD,,22.08,,23.93,,2021.03.22 15:10:12
TWD,,22.08,,23.93,,2021.03.22 15:09:57
TWD,,22.09,,23.94,,2021.03.22 15:09:17
TWD,,22.08,,23.93,,2021.03.22 15:04:46
TWD,,22.08,,23.93,,2021.03.22 15:02:58
TWD,,22.09,,23.94,,2021.03.22 14:58:29
TWD,,22.09,,23.94,,2021.03.22 14:52:34
TWD,,22.09,,23.94,,2021.03.22 14:48:27
TWD,,22.09,,23.94,,2021.03.22 14:47:43
TWD,,22.1,,23.95,,2021.03.22 14:43:47
TWD,,22.11,,23.96,,2021.03.22 14:39:26
TWD,,22.11,,23.96,,2021.03.22 14:36:48
TWD,,22.12,,23.97,,2021.03.22 14:32:25
TWD,,22.13,,23.98,,2021.03.22 14:29:33
TWD,,22.13,,23.98,,2021.03.22 14:28:36
TWD,,22.1,,23.95,,2021.03.22 14:23:26
