Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
USD,649.73,644.44,652.48,652.48,650.36,2021.03.23 11:23:34
USD,649.78,644.49,652.53,652.53,650.36,2021.03.23 11:21:51
USD,649.78,644.49,652.53,652.53,650.36,2021.03.23 10:58:54
USD,649.83,644.54,652.58,652.58,650.36,2021.03.23 10:55:37
USD,649.78,644.49,652.53,652.53,650.36,2021.03.23 10:50:15
USD,649.83,644.54,652.58,652.58,650.36,2021.03.23 10:48:37
USD,649.78,644.49,652.53,652.53,650.36,2021.03.23 10:37:55
USD,649.83,644.54,652.58,652.58,650.36,2021.03.23 10:37:07
USD,649.88,644.59,652.63,652.63,650.36,2021.03.23 10:35:32
USD,649.88,644.59,652.63,652.63,650.36,2021.03.23 10:34:12
USD,649.88,644.59,652.63,652.63,650.36,2021.03.23 10:32:08
USD,649.93,644.64,652.68,652.68,650.36,2021.03.23 10:30:00
USD,649.93,644.64,652.68,652.68,650.36,2021.03.23 10:30:00
USD,649.93,644.64,652.68,652.68,650.36,2021.03.23 10:28:46
USD,649.93,644.64,652.68,652.68,650.36,2021.03.23 10:28:46
USD,649.98,644.69,652.73,652.73,650.36,2021.03.23 10:18:59
USD,649.93,644.64,652.68,652.68,650.36,2021.03.23 10:18:14
USD,649.88,644.59,652.63,652.63,650.36,2021.03.23 10:11:24
USD,649.88,644.59,652.63,652.63,650.36,2021.03.23 10:11:24
USD,649.88,644.59,652.63,652.63,650.36,2021.03.23 10:10:01
USD,649.88,644.59,652.63,652.63,650.36,2021.03.23 10:10:01
USD,649.88,644.59,652.63,652.63,650.36,2021.03.23 10:08:52
USD,649.83,644.54,652.58,652.58,650.36,2021.03.23 10:08:00
USD,649.73,644.44,652.48,652.48,650.36,2021.03.23 10:00:40
USD,649.63,644.34,652.38,652.38,650.36,2021.03.23 09:56:55
USD,649.68,644.39,652.43,652.43,650.36,2021.03.23 09:52:55
USD,649.58,644.29,652.33,652.33,650.36,2021.03.23 09:47:07
USD,649.63,644.34,652.38,652.38,650.36,2021.03.23 09:46:07
USD,649.58,644.29,652.33,652.33,650.36,2021.03.23 09:42:47
USD,649.53,644.24,652.28,652.28,650.36,2021.03.23 09:39:42
USD,649.58,644.29,652.33,652.33,650.36,2021.03.23 09:36:38
USD,649.63,644.34,652.38,652.38,650.36,2021.03.23 09:34:57
USD,649.53,644.24,652.28,652.28,650.36,2021.03.23 09:33:23
USD,649.38,644.09,652.13,652.13,650.36,2021.03.23 09:32:41
USD,649.33,644.04,652.08,652.08,650.36,2021.03.23 09:32:14
USD,649.28,644,652.03,652.03,650.36,2021.03.23 09:30:39
USD,649.53,644.24,652.28,652.28,650.36,2021.03.23 09:17:59
USD,649.53,644.24,652.28,652.28,650.36,2021.03.23 09:17:55
USD,649.53,644.24,652.28,652.28,651.91,2021.03.23 08:26:38
USD,649.53,644.24,652.28,652.28,651.91,2021.03.23 07:53:00
USD,649.53,644.24,652.28,652.28,651.91,2021.03.23 07:41:55
USD,649.53,644.24,652.28,652.28,651.91,2021.03.23 07:31:18
USD,649.53,644.24,652.28,652.28,651.91,2021.03.23 07:29:15
USD,649.53,644.24,652.28,652.28,651.91,2021.03.23 06:55:13
USD,649.53,644.24,652.28,652.28,651.91,2021.03.23 05:30:00
USD,649.53,644.24,652.28,652.28,651.91,2021.03.23 05:30:00
USD,649.53,644.24,652.28,652.28,651.91,2021.03.23 05:30:00
