Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 11:26:40
ZAR,43.89,40.52,44.19,47.64,44.17,2021.03.23 11:23:34
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 11:21:51
ZAR,43.88,40.51,44.18,47.63,44.17,2021.03.23 10:58:54
ZAR,43.88,40.51,44.18,47.63,44.17,2021.03.23 10:55:37
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 10:50:15
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 10:48:37
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 10:37:55
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 10:37:07
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 10:35:32
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 10:34:12
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 10:32:08
ZAR,43.91,40.54,44.21,47.66,44.17,2021.03.23 10:30:00
ZAR,43.91,40.54,44.21,47.66,44.17,2021.03.23 10:30:00
ZAR,43.91,40.54,44.21,47.66,44.17,2021.03.23 10:28:46
ZAR,43.91,40.54,44.21,47.66,44.17,2021.03.23 10:28:46
ZAR,43.94,40.57,44.24,47.69,44.17,2021.03.23 10:18:59
ZAR,43.92,40.55,44.22,47.67,44.17,2021.03.23 10:18:14
ZAR,43.92,40.55,44.22,47.67,44.17,2021.03.23 10:11:24
ZAR,43.92,40.55,44.22,47.67,44.17,2021.03.23 10:11:24
ZAR,43.92,40.55,44.22,47.67,44.17,2021.03.23 10:10:01
ZAR,43.92,40.55,44.22,47.67,44.17,2021.03.23 10:10:01
ZAR,43.92,40.55,44.22,47.67,44.17,2021.03.23 10:08:52
ZAR,43.93,40.56,44.23,47.68,44.17,2021.03.23 10:08:00
ZAR,43.91,40.54,44.21,47.66,44.17,2021.03.23 10:00:40
ZAR,43.9,40.53,44.2,47.65,44.17,2021.03.23 09:56:55
